,pos,posCount,neg,negCount,neu,neuCount,count,comp,Top Words
1,0.0883,11152,0.0454,5807,0.8663,9663,26622,0.128,"{'berkeley': 26386, 'california': 1741, 'people': 1108, 'city': 1043, 'school': 1009, 'county': 1004, 'time': 805, 'oakland': 780, 'first': 769, 'covid': 692}"
2,0.0904,11948,0.0437,5594,0.8659,10005,27547,0.1428,"{'berkeley': 27258, 'california': 1769, 'school': 1486, 'people': 1093, 'time': 940, 'county': 876, 'city': 812, 'back': 793, 'teachers': 767, 'today': 755}"
3,0.091,11059,0.0426,5075,0.8665,9664,25798,0.1455,"{'berkeley': 25516, 'california': 1411, 'park': 1367, 'school': 952, 'city': 949, 'people': 943, 'time': 848, 'county': 810, 'show': 693, 'april': 687}"
4,0.0862,10706,0.045,5412,0.8688,10199,26317,0.1256,"{'berkeley': 26050, 'park': 1786, 'california': 1474, 'city': 1058, 'albany': 950, 'show': 934, 'availability': 924, 'school': 914, 'time': 889, 'county': 838}"
5,0.0856,8983,0.0467,4819,0.8677,7798,21600,0.1231,"{'berkeley': 21358, 'california': 1433, 'county': 858, 'people': 745, 'time': 724, 'school': 720, 'oakland': 641, 'june': 616, 'first': 615, 'city': 612}"
6,0.0831,9067,0.0468,4933,0.8701,8576,22576,0.1149,"{'berkeley': 21829, 'california': 1321, 'county': 819, 'people': 750, 'time': 704, 'school': 695, 'city': 682, 'first': 600, 'back': 570, 'years': 567}"
7,0.0805,9793,0.0464,5668,0.8731,9925,25386,0.1041,"{'berkeley': 24616, 'california': 1623, 'county': 1191, 'school': 1091, 'time': 838, 'people': 817, 'first': 769, 'area': 703, 'back': 695, 'city': 680}"
8,0.0821,10175,0.0441,5334,0.8737,9937,25446,0.1192,"{'berkeley': 24746, 'california': 1650, 'school': 1040, 'time': 852, 'county': 825, 'people': 800, 'first': 779, 'today': 696, 'live': 686, 'back': 657}"
9,0.0855,10878,0.0434,5533,0.8711,10826,27237,0.1233,"{'berkeley': 25261, 'california': 1611, 'school': 991, 'county': 970, 'time': 852, 'people': 846, 'park': 731, 'area': 724, 'first': 720, 'today': 716}"
10,0.0805,10126,0.0444,5432,0.875,10713,26271,0.1113,"{'berkeley': 25063, 'california': 1436, 'school': 983, 'county': 921, 'people': 854, 'city': 834, 'time': 780, 'went': 756, 'oakland': 750, 'back': 650}"
11,0.0827,9891,0.0389,4561,0.8784,10298,24750,0.1306,"{'berkeley': 22765, 'california': 1300, 'county': 948, 'school': 902, 'time': 745, 'live': 735, 'people': 722, 'first': 671, 'year': 648, 'back': 616}"
12,0.0796,10053,0.0456,5635,0.8748,11236,26924,0.1029,"{'berkeley': 25360, 'california': 1444, 'county': 1074, 'school': 1017, 'time': 810, 'people': 797, 'live': 696, 'back': 692, 'year': 690, 'area': 663}"
13,0.0796,11245,0.0471,6363,0.8733,11138,28746,0.098,"{'berkeley': 27630, 'california': 2085, 'school': 1285, 'city': 1145, 'people': 1122, 'live': 953, 'housing': 924, 'time': 898, 'county': 868, 'high': 798}"
