Month,keyword,count,tweets
2'21,chris,7149,"['  chris cornell  billie jean', 'chris cornell  gt  eddie vedder', '  journey   there s only been one singer and that s chris cornell ', '  audioslave did not change singers   there were not the same band as rage against the machine   they were a different entity and their singer was chris cornell for its entire existence ', '    the difference was that it was chris cornell singing instead of zack de la rocha ']"
2'21,soundgarden,1056,"['  kleine liebesgeschichte  warum ich mich immer wieder in meine frau verliebe  ich habe das erste mal audioslave zu hause laufen   sie  hey  das ist chris cornell  aber nicht soundgarden  was ist das cooles  ich          ', 'chris cornell  el hist rico vocalista de soundgarden  audioslave y temple of the dog     qrpstars  ', 'we ve compiled everything that has happened in the ongoing legal strife between soundgarden  amp  chris cornell s widow since the frontman s death  ', 'here s an idea for the seattle kraken   everytime one of their guys gets sent to the box  play rusty cage by soundgarden  would be a beautiful nod to the seattle grunge scene and the late great chris cornell  the greatest vocalist i ve ever heard  fitting song   ', 'chris cornell es un cantante originario de seattle  washington  que comenz  en 1984  chris cornell form  parte de las formaciones audioslave y soundgarden   stereobeam  ladirecci nexacta  10a osalaire    calidadhd  ']"
2'21,time,841,"['    one of my all time favorite cowboys cornell green  34 to the left of landry', '  crouton thank you for all the updates   it may be time for a deep breath and a   for you and diane  must be so hard to have  all the way up at cornell but thank goodness she s in good hands ', '    excellent choice  i like anything with chris cornell  dolly parton s cover of  shine   originally by collective soul   has also been a longtime favorite of mine  makes me forget all about the original version    ', ' yes chris cornell is a real king of rock and roll  he has passed into the valley of immortal kings and judges all other rock artist at time of their death  ', 'every once and a while my mind will wander to ann wilson belting out  black hole sun  on kimmel the night after chris cornell died  and i cry  every time  without fail ']"
2'21,music,829,"['timbaland s greatest beat round 1 matchup  timbaland  amp  magoo   n 2 da music  ft  brandy  year  2003 album  under construction part ii  vs  chris cornell   scream  ft  timbaland  year  2009 album  scream', '  rap chris cornell music poetry wise', ' music   il est assez incroyable quand il imite cornell  essayez   appuyez sur play et ne regardez plus l  cran     ', '  chris  cornell s last music video was an old western  where he is hung  nearly forgot my broken heart  song  they pulled the video shortly after he was hung', ' vintage  music  records  78rpm  10inch  tennesseeernie  frankchacksfield  chacksfield  cornell  dorisday  doncherry  rosemaryclooney  glenmiller  chuckmiller  miller in my  etsy  shop  g v  ']"
2'21,love,705,"['results for the big remote tournament of love hosted by none other than bust alum and cornell director brandon johnson   ca  emily trader 1 info  libby heaton 6  emily trader 1 pro  kory turner 3 poi  emily trader 3          ', '  patience by chris cornell  i also love the stone sour acoustic cover of wicked game ', '  cris cornell and santana  whole lotta love ', '  now playing  chris cornell   arms around your love', ' you can t lead people if you don t love people  you can t save people if you don t serve people     cornell west lord  bless         as they lead our country today  cover them  protect them  and give them wisdom and discernment  amen  psalm 51 10']"
2'21,great,687,"['timbaland s greatest beat round 1 matchup  timbaland  amp  magoo   n 2 da music  ft  brandy  year  2003 album  under construction part ii  vs  chris cornell   scream  ft  timbaland  year  2009 album  scream', '  why not  avax  probably one of the most promising altcoins avaliable on the market   it has a great team behind  the whole project is backed by cornell  ivy league member and home of  link   amp  the tech is not a promise  but an actual reality   read more     ', '  beautiful  she will do great at cornell ', '  hooked on a feeling by blue swede   honourable mention to blake shelton s version of she talks to angels and chris cornell s nothing compares 2 u both of those songs are pretty great originals  too ', 'what s great is it can technically be used to  very shittily  approximate the indirect lighting within a cornell box if you so choose  ']"
2'21,first,666,"[' to maneuver around the university s decision  not to approve their application to start their own fraternity   the eleven men decided to found a providence chapter of alpha phi alpha  a fraternity for black men first founded at cornell in 1906    bhm  ', ' cornell is a suitably generic hyur name  zazanell is the dunesfolk naming convention arbitrarily picked because he was surrounded by lalas  however because his first name is monosyllabic  amp  hes employed by the coco brothers people keep calling him coconell', 'back to back first period falls      falcons tie things up against averett after pins from cornell and barnhart   score tied 12 12 heading to 165 lbs   messiahwrest  gomessiah', ' vanity search time  the first three  also search for  make total sense  brilliant cornell tech colleagues  but what s going on with the rest of this list  a namesake i don t know about  a career in soccer that i forgot       ideas   ', '  dogg 76   all my first shows were with brent   that dude ruled  i m going with cornell  77 on my favorite show i missed ']"
2'21,west,653,"['brilliantly  cornell west argues that both the democratic and republican parties are more same than different and are thus at the will of big military and big money  ', '  heathen   1   richard wolff and cornell west are good examples but if you re asking about elected politicians literally none of them are left left', 'cornell west making it plain that us imperialism has domestic costs  and that militarism continues in the us irrespective of the party that owns the presidency as biden s syria strikes just reiterated   ', '  west point boys would call cornell girls that', '  football       pg c o  22 max prep ma  leading scorer 207 points   3 8 gpa 1  1  2  0   sat nhs 5 7   170   4 48 40yd       bench 265  5 reps        squat 405  3 reps        deadlift 420  3 reps        state champion    1st team all state   all western mass    ncaa qualified    ']"
2'21,good,623,"['thank you to everyone hosting this weekend  cornell  mafl  vfl  and iifa all had really efficient and fun tournaments  and congrats to everyone on a good day of competition  we ll be back at it tomorrow  get some rest and take care       ', '  crouton thank you for all the updates   it may be time for a deep breath and a   for you and diane  must be so hard to have  all the way up at cornell but thank goodness she s in good hands ', '  bill maher what about the monroe doctrine  i thought latin anerica was our backyard   yup cornell   s finest calling for the good ole days ', 'chris cornell  goodness me what a voice    audioslave   like a stone  official video    via  ', 'cornell is a good uni anyone who says something else is wrong']"
2'21,think,579,"['ever just listen to audioslave and think about chris cornell', '    agree  chris cornell s tragedy got to me  although many of them did too but i always think of chris cornell', 'being a teenaged girl is walking to ezra cornell s house and crying to mitski while u think abt being a teenaged girl', '  it s amazing  eddie vedder and chris cornell working together is a particular highlight  it s called twenty i think   ', 'think he will discuss bombing in  syria     rahul gandhi to address cornell university s students on democracy and development   tpe news  ']"
2'21,still,560,"['  cornell john elway comes immediately to mind  have to wonder if the mayflower vans still show up in suburban baltimore on 3 28 1984 if elway is the colts qb in 1983 ', '  advanced endoscopists   david carr locke and petre draganov discuss advancements in technology   what  scopes  caps they use  and altered anatomy and its challenges with cannulation in  bariatricsurgery patients    is still wide awake    ', '  chris cornell  he d been singing about his own death and addiction since forever but still a shock and terribly tragic loss  if i could sing  i d want to sing like him  amazing voice ', '    i had many great teachers along the way  for which i m eternally grateful   but as an airforce brat  moving around  8 schools from k 12  these relationships were constantly interrupted  still  they kept embers burning until i was prepared to embrace the gift of school learning ', '    pet sematary     still  to this day   gage being killed  then the finale when he waits for his wife to come home   hand on his shoulder  read it 30  years ago as a freshman at cornell and it still haunts me ']"
