Month,keyword,count,tweets
2'21,engineering,14,"['Mary Jessie Celestin, @SanJoseStrong1 founder, will speak at HJD. @mary_likeaboss is a sr engineering major at @harveymudd, and currently interning at a startup and smart cities podcast team.\nCome hear Mary &amp; other Health Justice Dialogue panelists! RSVP https://t.co/3CVlNqnhku https://t.co/80Lylbqcmn', ""IMPACTFUL ALUMNI: We're so proud of all our alumni who provided their expertise to help launch and land the #PerseveranceRover on Mars. Christopher Pong '08 (engineering) is a guidance and control engineer at @NASAJPL.\nhttps://t.co/FL7qqyaUpf"", ""@Kinstugi_ @harveymudd @QUT @JHUeducation They're all research universities in science and engineering. Probably that's why they are expensive."", '@sandeep_PT In fact, many American universities increased the number of humanities courses engineering students must take following the success of the private Harvey Mudd College in California. It has the highest rate of Ph.D. production among all undergraduate colleges.', 'Dr. Mae Jemison is the first African-American female astronaut and the first woman to receive HMC’s honorary doctor of engineering degree. We celebrate Dr. Jemison and remember her words, “Never be limited by other people’s limited imaginations.” #BlackHistoryMonth https://t.co/m1hpmUC4qH', 'Looking forward to this #MuddTalk from engineering prof. Albert Dato. Join us for ""How Transformative Scientific Research Happens at Mudd,"" Wednesday, Feb. 17, at 5:30 p.m. PST. Register: https://t.co/OvcXHwI7ic https://t.co/09jdDU7Rrl', 'Congrats to @brmey27 on signing today to one of the top engineering schools in the nation, Harvey Mudd, to further his academic and athletic career. #PumaPride https://t.co/5YuCdPs6HE']"
2'21,taylor,12,"['currently watching taylor swift’s full concert at harvey mudd....don’t text', ""watching taylor swift's complete concert at harvey mudd. God bless jud aning mga tig upload sa yt sana masarap ang ulam nyo everyday"", '#RedAlbum  #TaylorSwiftOnGMA #Red #TaylorSwift #TaylorSwuftConcertAtHarveyMudd @tswiftph @taylorswift13 @harveymudd #LoveStory https://t.co/fXmaq88WEI', '#ConcertAtTheHarveyMudd i just miss taylor swift, like her being country girl with her curly hair and long dress, wearing red lipstick and me watching her #TaylorSwift #LoveStory #TaylorSwiftOnGMA @TaylorLoverTour @taylornation13 @taylorswift13 @harveymudd @tswiftph https://t.co/Y2Vo0yOzNS']"
2'21,first,11,"['Talithia Williams has conducted research at @NASAJPL and @NSAGov and is the first Black woman to receive tenure at @harveymudd. #NCStateBHM https://t.co/ewh0LIHBxl', ""Students at @HarveyMudd won't be able to study abroad this fall, the college announced today. HMC was the first school to totally cancel study abroad in fall 2020 and in spring 2021. \n\nFrom @AnusheEngineer and Richa Shah for @TSLnews:\nhttps://t.co/W1H5T9scFh"", '@kspc @harveymudd A @HarveyMudd alum, I started my radio career at @KSPC with my first regular on-air show. Then became a DJ and later newscaster/ND in Santa Barbara, Santa Maria, Boise, Green Bay, Tacoma and Seattle. (Um, I may have even been one of the first to call it K-SPaCe on air.) Happy 65!', 'Wow first time ko lang mapanuod tong concert ni Taylor sa Harvey Mudd. Aggghhhhhh ily!!!', 'Dr. Mae Jemison is the first African-American female astronaut and the first woman to receive HMC’s honorary doctor of engineering degree. We celebrate Dr. Jemison and remember her words, “Never be limited by other people’s limited imaginations.” #BlackHistoryMonth https://t.co/m1hpmUC4qH', 'From those first research cruises, my #WomenInSTEM mentors have helped shaped my career path from a  fisheries research tech to a #coral #curator @NMNH- Thank you @ademopoulos @cmorrisonWV Cathy McFadden @harveymudd, Martha Nizinski @InvertebratesDC Katriina Ilves @MuseumofNature', 'Base pay in their first six months comes out to less than $20,000 per year. But troops earn increases as they advance in rank and gain experience. \nhttps://t.co/rmfRLfLFAU\n\nBut it seems like there are some exceptions, like Harvey Mudd College. \nhttps://t.co/qSi32FboTH https://t.co/3TzsJPvB3t', '#Homocystinuria was first described in 1962. In 1964 it was established that the condition was caused by impaired functioning of the CBS enzyme\n\nThen in 1969 &amp; 1970, Dr. Harvey Mudd and Dr. Harvey Levy describe cobalamin C deficiency.\n\n#RareDiseaseDay #ShowYourStripes https://t.co/Ja01kir49a']"
2'21,black,11,"['@CoachCMurch_CMS @harveymudd @AthleticsCMS @hack4blacklives thank you so much for the support!', '4 @harveymudd and @AthleticsCMS student-athletes came together to create the @hack4blacklives Hack-a-thon! The projects showcased tonight were just 🤯 wow...most still in the working phase. Check out a few:\nhttps://t.co/A3ezegDsif\nhttps://t.co/j8ZaD29gC3\nhttps://t.co/An7oLZBfva']"
2'21,professor,11,"[""I probably have a memorial Kleenex box dedicated to me at Harvey Mudd.\n\nI'm a very good professor."", 'Harvey Mudd College Chemistry: visiting assistant professor starting Fall 2021 (1, possible extension to 2 or 3 years). Open field. Teaching and research opportunities. https://t.co/frR17o5GP5 @Chemjobber #ChemTwitter', 'Harvey Mudd math professors @dyong and @dagan_karp offer some ""light-hearted, low-effort things … to bring back some of that sense of togetherness"" in online classes. https://t.co/vbGDCoiaAR', 'March 16th with @harveymudd professor Dr. Kathy Van Heuvelen: Collaborative Group Work Across Time Zones.  RSVP at: https://t.co/fr14PiUk6r https://t.co/eiv1NUxX0r', 'CS professor Julie Medero is collaborating with Tobias Hecht &amp; Devon Hartman (both of CHERP Claremont), along with independent study students, to prepare a proposal that addresses disaster response &amp; renewable energy equity in a disadvantaged community. https://t.co/YyfjX1AWcP', '@cameronconcarne I believe this is called the discrete derivative\nI once read a pdf called discrete calculus, possibly by a Harvey Mudd professor which discussed this', 'VIA is celebrating @Dr_TalithiaW, who is an inspiring and accomplished professor, author, and statistician. Dr. Williams is the FIRST Black woman to achieve tenure at @harveymudd. #eval #BlackHistoryMonth #BlackHistoryMonth2020 #inspiration\nhttps://t.co/GtVrzXKMRg https://t.co/pLRQQ2CHqu']"
2'21,research,10,"['Talithia Williams has conducted research at @NASAJPL and @NSAGov and is the first Black woman to receive tenure at @harveymudd. #NCStateBHM https://t.co/ewh0LIHBxl', 'Harvey Mudd College Chemistry: visiting assistant professor starting Fall 2021 (1, possible extension to 2 or 3 years). Open field. Teaching and research opportunities. https://t.co/frR17o5GP5 @Chemjobber #ChemTwitter', ""@Kinstugi_ @harveymudd @QUT @JHUeducation They're all research universities in science and engineering. Probably that's why they are expensive."", 'Congratulations to David Vosburg (Harvey Mudd College, https://t.co/uVkVcdMFhL), a recipient of an Org Syn PUI summer research grant for 2021! https://t.co/uuLrlPsYMe', ""The impact of artificial intelligence and machine learning is growing in higher education. President @MariaKlawe joins leading thinkers and practitioners as they discuss AI's impact on research, teaching &amp; student support. https://t.co/zCWYg0T7Uo"", 'From those first research cruises, my #WomenInSTEM mentors have helped shaped my career path from a  fisheries research tech to a #coral #curator @NMNH- Thank you @ademopoulos @cmorrisonWV Cathy McFadden @harveymudd, Martha Nizinski @InvertebratesDC Katriina Ilves @MuseumofNature']"
2'21,concert,10,"['currently watching taylor swift’s full concert at harvey mudd....don’t text', ""watching taylor swift's complete concert at harvey mudd. God bless jud aning mga tig upload sa yt sana masarap ang ulam nyo everyday"", 'Wow first time ko lang mapanuod tong concert ni Taylor sa Harvey Mudd. Aggghhhhhh ily!!!', 'I’m super nostalgic 🥺 and yes it seems I like to make me self cry because I haven’t done anything but watch the Harvey Mudd concert ❤️ imagine Taylor going to you high school/college ...']"
2'21,2021,10,"['Harvey Mudd College Chemistry: visiting assistant professor starting Fall 2021 (1, possible extension to 2 or 3 years). Open field. Teaching and research opportunities. https://t.co/frR17o5GP5 @Chemjobber #ChemTwitter', 'The Claremont Colleges--Claremont McKenna, Harvey Mudd, Pitzer, Pomona, and Scripps Colleges--will be hosting an online info session Thursday, February 25, 2021 at 5 PM.  Learn about each college, the admission process, and attend a Q&amp;A. Register here: https://t.co/SphfonHbTB https://t.co/Cm9tQiqdFn', 'Congratulations to David Vosburg (Harvey Mudd College, https://t.co/uVkVcdMFhL), a recipient of an Org Syn PUI summer research grant for 2021! https://t.co/uuLrlPsYMe', 'Promotions and tenure appointments for HMC faculty were approved by the board of trustees and will become effective July 1, 2021.  @DrDadabhoy @JoshuaBrake @XandaSchofield @mattspencer_ee https://t.co/456qoFRsbP https://t.co/GtyG2gXtuQ', ""Students at @HarveyMudd won't be able to study abroad this fall, the college announced today. HMC was the first school to totally cancel study abroad in fall 2020 and in spring 2021. \n\nFrom @AnusheEngineer and Richa Shah for @TSLnews:\nhttps://t.co/W1H5T9scFh"", 'NEW: @HarveyMudd College announced the cancellation of all its study abroad options for the fall 2021 semester, citing health concerns amid the COVID-19 pandemic. https://t.co/aHCh5NBAXz', 'Nasty sequence from RHP Luke Summers (@llukesummerss) to record the strikeout and leave two stranded for OC Lightning Black.\n\n@olubaseball (CA) 2021 •\xa0Harvey Mudd College commit https://t.co/GF6MaLxyWI', 'Congratulations to 2021 #CottrellScholar Brian J. Shuve, physics, @harveymudd!', 'Congrats to the 2021 Hertz Fellowship Finalists from\xa0@Stanford,\xa0@ucla,\xa0@Illinois_Alma,\xa0@caltech,\xa0@mit,\xa0@harveymudd,\xa0@ucberkeley,\xa0@princeton,\xa0@UniofOxford,\xa0@hamiltoncollege, @umich, @Cambridge_Uni, @harvard, @riceuniversity, @SNUnow,\xa0@UVA &amp;\xa0@johnshopkins https://t.co/03uwiXHvM8', 'Congrats to our guys on their signings: \n@EliaMigao BYU\n@EnokaMigao BYU\n@brmey27 Harvey Mudd\n@JadonFurubotten Air Force \n@dquintanilla001 SMSU \n\nWe have more 2021 and alum in JC available. #PumaPride']"
2'21,swift,9,"['@kswiftthegreat The Speak Now tour in an actual THEATER??? that would slap. I’d also love a Red tour played similarly to her Storytellers show at Harvey Mudd. I think that show really suited the album.', 'currently watching taylor swift’s full concert at harvey mudd....don’t text', ""watching taylor swift's complete concert at harvey mudd. God bless jud aning mga tig upload sa yt sana masarap ang ulam nyo everyday"", '#RedAlbum  #TaylorSwiftOnGMA #Red #TaylorSwift #TaylorSwuftConcertAtHarveyMudd @tswiftph @taylorswift13 @harveymudd #LoveStory https://t.co/fXmaq88WEI', '#ConcertAtTheHarveyMudd i just miss taylor swift, like her being country girl with her curly hair and long dress, wearing red lipstick and me watching her #TaylorSwift #LoveStory #TaylorSwiftOnGMA @TaylorLoverTour @taylornation13 @taylorswift13 @harveymudd @tswiftph https://t.co/Y2Vo0yOzNS']"
2'21,alumni,9,"['Created and organized by a group of @HarveyMudd College students and alumni, @Hack4BlackLives tasked 7C participants with developing projects to support Black communities.\nhttps://t.co/02fpv6uAIE', ""MUDD MAGAZINE: New website, new design, new size! The fall/winter issue of the College's magazine, is online here https://t.co/Qw5QzuZ2d4. Great content about alumni health professionals, the airplane built on campus by students, leadership training, more. #40thAnniversary https://t.co/bT6tEEFUdv"", 'Stags Baseball @CMCnews @harveymudd alumni, join fellow alumni and former teammates on Saturday, March 20 for a Stags Baseball virtual reunion. - https://t.co/vz2ZpHjagb https://t.co/3aLDKLqKnv', ""IMPACTFUL ALUMNI: We're so proud of all our alumni who provided their expertise to help launch and land the #PerseveranceRover on Mars. Christopher Pong '08 (engineering) is a guidance and control engineer at @NASAJPL.\nhttps://t.co/FL7qqyaUpf"", ""Just because you went to Harvard, doesn't mean you're making bank. \n\nHowever, I don't know any Harvey Mudd alumni not making bank. https://t.co/ED1TkPvV54"", '@hanusadesign was in the 2020 @harveymudd Gift Guide. It was an honor to be listed with so many talented alumni. The support of the community has been wonderful. BTW I still have a number of Möbius Necklaces that I could send out ASAP. https://t.co/zFlOAc3XP0 #mathjewelry https://t.co/XF1RW5FGUF']"
