,pos,posCount,neg,negCount,neu,neuCount,count,comp
2'21,0.105,95.0,0.0142,13.0,0.8808,61.0,169.0,0.2888
3'21,0.1147,105.0,0.0266,17.0,0.8588,41.0,163.0,0.3201
4'21,0.0997,107.0,0.0181,15.0,0.8822,93.0,215.0,0.2492
5'21,0.1739,125.0,0.0174,13.0,0.8087,49.0,187.0,0.4099
6'21,0.0866,56.0,0.0245,13.0,0.8889,44.0,113.0,0.207
7'21,0.1239,60.0,0.021,11.0,0.8552,31.0,102.0,0.2914
8'21,0.1202,77.0,0.0228,12.0,0.857,39.0,128.0,0.3265
9'21,0.0945,64.0,0.0242,16.0,0.8813,52.0,132.0,0.2457
10'21,0.1072,90.0,0.0254,26.0,0.8673,52.0,168.0,0.2488
11'21,0.1397,69.0,0.0172,11.0,0.8431,42.0,122.0,0.3101
12'21,0.1145,58.0,0.0197,13.0,0.8659,36.0,107.0,0.2551
1'22,0.1248,73.0,0.0248,14.0,0.8504,41.0,128.0,0.2575
2'22,0.1171,63.0,0.0217,10.0,0.8612,38.0,111.0,0.296
