Month,keyword,count,tweets
2'21,london,1934,"['   cognitive biotechnology  opportunities and considerations for the nato alliance   recommendations    johns hopkins university  amp  imperial college london   two main academic institutions driving covid policy', '        i know nolan finley doesn t read his own newspaper  but  there s this from researchers at imperial college london and oxford university    whitmer stay home orders saved lives  perhaps tens of thousands    ', '    how i miss 2006  when i was there  working on my thesys and seeing london eye from the window of my office ', '     1  de  zoals altijd frauduleuze  modellen van het imperial college london zijn wereldwijd de aanzet geweest tot het verklaren van een pandemie  eenzelfde situatie als rond het h1n1 virus in 2009 ', '  gov data   among the documents was modelling done by imperial college london  it showed a rapid easing of restrictions could lead to surge in deaths over the summer and a total of 80 000 deaths by the middle of 2022    ']"
2'21,covid,1078,"['pleasing to read how the u k  s outstanding universities  including   came together with   and industry  for vaccine development  recovery trial  disease modelling  react and covid 19 diabetes obesity probably also worth a mention   ', '  i think a better a better football analogy for uk s covid situation is the awarding of the world cup to qatar by uefa by its voting officials who were bribed by qatar itself  i e  it s rather like imperial college  warwick  amp  lshtm producing the outcomes their funders wanted ', '   cognitive biotechnology  opportunities and considerations for the nato alliance   recommendations    johns hopkins university  amp  imperial college london   two main academic institutions driving covid policy', '    tasso mortalit  giovanile under 40 causa covid 0 1   dati  ', 'imperial college map predicts if herefordshire will be covid hotspot  ']"
2'21,study,488,"['according to a study by    about 1 in 7 people in  england have antibodies against  sarscov2 either from infection or vaccination  more from   latest   ', 'similar messages from 155 000 sample of imperial college react study   black willingness to take vaccine at 72   low refusal rate of 5  but  don t know  rather higher at 22   asian willingness at 88  with refusal  lt  2   amp  don t know 11   white british willingness at 93   ', '  i handed in the list of universities where i was applying to study physics  first on the list was     last was     my teacher said  so  it s manchester or nowhere   i got a place  amp  a degree at imperial  ha ', '      covid   in  jnj study no lack of aged 60     news decision on march 11 and delivery starts in april  italy can have it s 1 dose track soon without diverting from producers advice   ', 'a new study led by     will explore whether tiny airborne droplets and particles can spread coronavirus in settings like supermarkets  schools and busy streets   ']"
2'21,ferguson,467,"['ferguson  imperial college which receives millions in funding from gates lied to start the ball rolling  with a complete lockdown of the economy and continues to advise the government  you couldn t make it up and the public go along with it   ', '            ferguson   for covid 500 000 was a projection for a  do nothing  scenario  without measures   this figure becomes void because measures were put in place  prediction of number of deaths was 250 000 in a mitigated scenario over a  2 year  period  we have already exceeded their prediction   ', '            ferguson   for swine flu the team used a cfr estimate of 0 4  to calculate a  worst case scenario   this was a projection against which to plan  and not a prediction of number of deaths    ', '            ferguson   his bird flu projection is completely misrepresented  what he actually estimated during a guardian interview was a potential death toll in a scenario  if  bf  a high lethality fast mutating strain  becomes highly transmissible  amp  spreads to the human population across the planet   ', '            ferguson   for bse with 95  confidence intervals for future vcjd deaths they predicted  2001 2005  40   400 2001 2010  40   1 200 deaths  their best estimate was 100 1000 deaths  50 000 was a projection of future deaths which they said was far less likely   ']"
2'21,people,401,"['according to a study by    about 1 in 7 people in  england have antibodies against  sarscov2 either from infection or vaccination  more from   latest   ', '            he doesn t control websites though  no  he just controls the shit operating system that most people use  or make donations to the bbc  imperial college etc in the name of philanthropy  why would a software magnet care about vaccinating the world for ', '   has invested  205 000 to support the development of cue1   a wearable medical device for people with  parkinsons        ', 'this unique curved barrier can protect people from the damaging effects of air pollution     airpollution  barrier  design  ', 'this unique curved barrier can protect people from the damaging effects of air pollution     airpollution  barrier  design  ']"
2'21,lockdown,366,"['ferguson  imperial college which receives millions in funding from gates lied to start the ball rolling  with a complete lockdown of the economy and continues to advise the government  you couldn t make it up and the public go along with it   ', '           how can the efficacy of vaccines not have a huge effect on imperial college s modelling on easing lockdown  because that is what they ve clarified below  might as well be zero then  if true   ', ' we have no ties to the koch brothers  ironically  the opposite is true  as the koch funded mercatus center gave money to pro lockdown modeler neal ferguson at imperial college    martin kulldorff  doctor s criticism off base  ', '   news supported research   highlights the risk of easing lockdown restrictions too quickly   ', '        quais especialistas   tila iamarino  imperial college of london   s  para vc ter uma ideia  o neil fergunson  o cara que liderou o estudo que nos trouxe a toda essa loucura de lockdown e medidas sanit rias  foi pego saindo do lockdown para se encontrar com a amante  erraram tudo ']"
2'21,research,347,"['        i know nolan finley doesn t read his own newspaper  but  there s this from researchers at imperial college london and oxford university    whitmer stay home orders saved lives  perhaps tens of thousands    ', 'striking chart  in early 2000s over third of uk r amp d was in defence  now that s under 15   and   over half of government and charity spending on biomedical research goes to just three places  oxford  cambridge and west london  home to imperial college          ', ' over half of government and charity spending on biomedical research goes to just three places  oxford  cambridge and west london  home to imperial college london   british science is less hierarchical than much of europe and more cosmopolitan    ', 'in 2019  molly stevens of   was honored for work including nanoparticle based serological tests for ebola survivors in uganda  recognize an emerging researcher with a nomination for the  10 000 kabiller young investigator award     ', '  j harper the research found 34 7  of those 80 years or older generated antibody responses from one dose of pfizer vaccine  recalculate  imperial college data ']"
2'21,deaths,315,"['  gov data   among the documents was modelling done by imperial college london  it showed a rapid easing of restrictions could lead to surge in deaths over the summer and a total of 80 000 deaths by the middle of 2022    ', '            ferguson   for covid 500 000 was a projection for a  do nothing  scenario  without measures   this figure becomes void because measures were put in place  prediction of number of deaths was 250 000 in a mitigated scenario over a  2 year  period  we have already exceeded their prediction   ', '            ferguson   for swine flu the team used a cfr estimate of 0 4  to calculate a  worst case scenario   this was a projection against which to plan  and not a prediction of number of deaths    ', '            ferguson   for bse with 95  confidence intervals for future vcjd deaths they predicted  2001 2005  40   400 2001 2010  40   1 200 deaths  their best estimate was 100 1000 deaths  50 000 was a projection of future deaths which they said was far less likely   ', '            ferguson   this meme falsely claims that he predicted 150 000 deaths during the foot and mouth crisis and  less  lt 200 died  john fund of the national review has admitted that it is false and  has apologised  there were no reported human deaths during the 2001 f amp m outbreak   ']"
2'21,model,307,"['pleasing to read how the u k  s outstanding universities  including   came together with   and industry  for vaccine development  recovery trial  disease modelling  react and covid 19 diabetes obesity probably also worth a mention   ', '           how can the efficacy of vaccines not have a huge effect on imperial college s modelling on easing lockdown  because that is what they ve clarified below  might as well be zero then  if true   ', '     1  de  zoals altijd frauduleuze  modellen van het imperial college london zijn wereldwijd de aanzet geweest tot het verklaren van een pandemie  eenzelfde situatie als rond het h1n1 virus in 2009 ', '  gov data   among the documents was modelling done by imperial college london  it showed a rapid easing of restrictions could lead to surge in deaths over the summer and a total of 80 000 deaths by the middle of 2022    ', 'building on the sir model  building  model imperial college london   gt   ']"
2'21,news,290,"['        i know nolan finley doesn t read his own newspaper  but  there s this from researchers at imperial college london and oxford university    whitmer stay home orders saved lives  perhaps tens of thousands    ', '      eduforall         pe   news   eduandcmty thanks shrehan for sharing  have registered  looks interesting  reminds me of a short course i authored at imperial college with their graduate school some 8 years back ', 'pollution hits the fungi that nourish european trees   imperial news   imperial college london  ', '      covid   in  jnj study no lack of aged 60     news decision on march 11 and delivery starts in april  italy can have it s 1 dose track soon without diverting from producers advice   ', '  jidea   outbreak     news   mrc     perc     how is it a cure can be found for what is essentially a virulent flu but yet pancreatic cancer can hardly be detected   how much money has sage gained from  covid  and why has this been blown out of proportion ']"
