,pos,posCount,neg,negCount,neu,neuCount,count,comp
2'21,0.099,12116.0,0.0498,5575.0,0.8512,8544.0,26235.0,0.1533
3'21,0.1054,21600.0,0.0736,13023.0,0.821,15377.0,50000.0,0.1136
4'21,0.1208,9438.0,0.0374,2895.0,0.8418,5289.0,17622.0,0.231
5'21,0.1116,6847.0,0.0429,2697.0,0.8454,4262.0,13806.0,0.184
6'21,0.1039,5661.0,0.0454,2164.0,0.8507,3609.0,11434.0,0.1742
7'21,0.1017,7529.0,0.0517,3260.0,0.8465,4739.0,15528.0,0.1495
8'21,0.0916,7304.0,0.0636,4645.0,0.8449,5559.0,17508.0,0.0932
9'21,0.0982,15550.0,0.0609,8930.0,0.8409,11691.0,36171.0,0.1091
10'21,0.1044,20016.0,0.0739,12939.0,0.8218,13762.0,46717.0,0.0939
11'21,0.1089,22523.0,0.0667,12707.0,0.8244,14770.0,50000.0,0.1245
12'21,0.1046,21511.0,0.0777,14811.0,0.8177,13678.0,50000.0,0.0876
1'22,0.1078,22651.0,0.0684,12761.0,0.8238,14588.0,50000.0,0.129
2'22,0.1023,21451.0,0.0781,14459.0,0.8196,14090.0,50000.0,0.0914
