Month,keyword,count,tweets
2'21,company,289,"['  werth          dr sus   thanks so much  rob  and thrilled to be in such great company  definitely tuning into see their talks as well  ', '    rice university is working with utah company great basin scientific on the research of covid19  that company was a scam and now 100  owned by leading chinese bio company luye helping them stealing info and r amp d from us  same guy closed 34 australian hospitals during pandemic', '    rice university is working with a company called great basin scientific on the research of covid19  that company was a scam and now 100  owned by leading chinese bio company luye helping them stealing info and r amp d from us  same guy closed 34 australian hospitals during pandemic', '  rice university is working with a company called great basin scientific on the research of covid19  that company was a scam and now 100  owned by leading chinese bio company luye helping them stealing info and r amp d from us  same guy closed 34 australian hospitals during pandemic', '  rice university is working with a company called great basin scientific on the research of covid19  that company was a scam and now 100  owned by leading chinese bio company luye helping them stealing info and r amp d from us  same guy closed 34 australian hospitals during pandemic']"
2'21,research,139,"['physicists discovered the hall effect in a nonmagnetic quantum material       quantumquirk  magneticeffect  research  ', 'these 3 houston researchers are revolutionizing  health science innovation       heart      ', 'rice university researchers designed a tool that can diagnose  covid19 in 55 minutes or less with the help of programmed magnetic nanobeads and a diagnostic tool that plugs into an off the shelf cell phone   ', ' a cellphone with spin related memory would be much more powerful and much less energy consuming than it is now    sunny gupta     learn more about this research funded by our  armyresearchoffice    ', 'researchers at   have received funding for up to  1 million to develop a real time sensor system able to detect minute amounts of the airborne virus that causes covid 19 infection  ']"
2'21,texas,138,"['        some of us went to the 1994 game at rice when the owls beat texas  we didn t go to the moon after but we did go to birraporretti s ', '      it is a simultaneous cut on rice football and buff of texas football  the fact that he is comparing the difficulty of rice beating texas in football to sending a human to the fucking moon will never be anything but endlessly hilarious to me ', '      you misread it  it s a hat tip to texas  not a dig on rice  it s aspirational to rice  they are  bold  in their endeavors ', '  my absolute favorite part of the speech is when he cuts on    to make his point      why does rice play texas  ', ' we need to recognize this as an  energy systems challenge that goes beyond any one component     ds  an associate professor of civil and environmental engineering at rice university in  houston  tells       texas  presidentbiden  joebiden']"
2'21,great,131,"['congratulations to yocefu hattori that is now dr hattori  thanks to everyone involved especially prof  stephan link from rice university that was a great opponent', '  werth          dr sus   thanks so much  rob  and thrilled to be in such great company  definitely tuning into see their talks as well  ', 'i am very  very excited that   is giving a talk on her new book   thedeviantprison  at       tues  march 16th  12 15 1 30pm  cst    dm for zoom        ps  look out for more great talks    dr sus  3 31  and    4 13   ', '    rice university is working with utah company great basin scientific on the research of covid19  that company was a scam and now 100  owned by leading chinese bio company luye helping them stealing info and r amp d from us  same guy closed 34 australian hospitals during pandemic', '    rice university is working with a company called great basin scientific on the research of covid19  that company was a scam and now 100  owned by leading chinese bio company luye helping them stealing info and r amp d from us  same guy closed 34 australian hospitals during pandemic']"
2'21,houston,123,"[' we need to recognize this as an  energy systems challenge that goes beyond any one component     ds  an associate professor of civil and environmental engineering at rice university in  houston  tells       texas  presidentbiden  joebiden', 'a huge shoutout to   and the digital media commons for their help in putting together a 360 tour of our campus for prospective students  follow the link to learn more about beautiful rice university  located in the heart of houston  tx     ', 'wtf     dear god  really houston  you are okay w this                     this unamerican disgrace of a man literally makes me sick to my stomach     ', 'meet rice msne doctoral student astrid campos   in this fun video from    astrid shares what it s like starting her phd program at   during the covid 19 pandemic  making friends and discovering houston cuisine     ', 'these 3 houston researchers are revolutionizing  health science innovation       heart      ']"
2'21,covid19,114,"[' innovation  a system developed by    engineers employ a stamp sized microfluidic chip that measures the concentration of sars cov 2 nucleocapsid protein in blood serum to diagnose  covid19 in less than an hour   saturdaythoughts  covid  healthcare  healthy  ', 'artdaily recommends  chip simplifies covid 19 testing  delivers results on a phone  chip  covid19  phone  science  newspaper  riceuniversity   rice university   read more about this here     ', 'chip simplifies covid 19 testing  delivers results on a phone  chip  covid19  phone  science  newspaper  riceuniversity   rice university   read more about this here     ', 'rice university researchers designed a tool that can diagnose  covid19 in 55 minutes or less with the help of programmed magnetic nanobeads and a diagnostic tool that plugs into an off the shelf cell phone   ', ' innovation  a system developed by   engineers employs a stamp sized microfluidic chip that measures the concentration of sars cov 2 nucleocapsid protein in blood serum to diagnose  covid19 in less than an hour   ']"
2'21,professor,113,"['today at 1 pm i will be joined by dr  daniel cohan  associate professor of environmental engineering at rice university  to discuss the catastrophic failure last week  amp  what steps we can take to make sure it doesn t happen again   txlege  join us     ', ' we need to recognize this as an  energy systems challenge that goes beyond any one component     ds  an associate professor of civil and environmental engineering at rice university in  houston  tells       texas  presidentbiden  joebiden', 'in 1 hour  4pm ct  join soprano and rice university voice professor  nova thomas and three of our featured gya artists in the john d  and sally s  levy master class livestreamed on our facebook and youtube pages  see you there   link to our youtube page     ', 'rice university professor w  caleb mcdaniel and his pulitzer prize winning book   sweet taste of liberty  a true story of slavery and restitution   are featured in this   story on henrietta wood s 1870s reparations lawsuit   ', 'and join me this saturday at 1 pm with dr  daniel cohan  associate professor of environmental engineering at rice university  to discuss the catastrophic failure last week  amp  what steps we can take to make sure it doesn t happen again   txlege  rsvp     ']"
2'21,info,112,"['the rice university computer science lab of   challenged    and beat    deep learning in a test to see if a new bioinformatics approach effectively tracks the lab of origin of a synthetic genetic sequence   ', ' bioinformatics tool accurately tracks synthetic dna    computerscience     university    h t   ', 'bioinformatics tool accurately tracks synthetic dna    ', ' fridayscience  engineering   computer scientists show benefits of bioinformatics with plasmidhawk   ', 'scientists show benefits of bioinformatics with plasmidhawk tool      ']"
2'21,working,104,"['    rice university is working with utah company great basin scientific on the research of covid19  that company was a scam and now 100  owned by leading chinese bio company luye helping them stealing info and r amp d from us  same guy closed 34 australian hospitals during pandemic', '    rice university is working with a company called great basin scientific on the research of covid19  that company was a scam and now 100  owned by leading chinese bio company luye helping them stealing info and r amp d from us  same guy closed 34 australian hospitals during pandemic', '  rice university is working with a company called great basin scientific on the research of covid19  that company was a scam and now 100  owned by leading chinese bio company luye helping them stealing info and r amp d from us  same guy closed 34 australian hospitals during pandemic', '  rice university is working with a company called great basin scientific on the research of covid19  that company was a scam and now 100  owned by leading chinese bio company luye helping them stealing info and r amp d from us  same guy closed 34 australian hospitals during pandemic', '    rice university is working with a company called great basin scientific on the research of covid19  that company was a scam and now 100  owned by leading chinese bio company luye helping them stealing info and r amp d from us  same guy closed 34 australian hospitals during pandemic']"
2'21,leading,103,"['              willis wilson is an amazing coach and man  he is still and always will be leading people to be the best person they can be   miss you coach ', '    rice university is working with utah company great basin scientific on the research of covid19  that company was a scam and now 100  owned by leading chinese bio company luye helping them stealing info and r amp d from us  same guy closed 34 australian hospitals during pandemic', '    rice university is working with a company called great basin scientific on the research of covid19  that company was a scam and now 100  owned by leading chinese bio company luye helping them stealing info and r amp d from us  same guy closed 34 australian hospitals during pandemic', '  rice university is working with a company called great basin scientific on the research of covid19  that company was a scam and now 100  owned by leading chinese bio company luye helping them stealing info and r amp d from us  same guy closed 34 australian hospitals during pandemic', '  rice university is working with a company called great basin scientific on the research of covid19  that company was a scam and now 100  owned by leading chinese bio company luye helping them stealing info and r amp d from us  same guy closed 34 australian hospitals during pandemic']"
