,pos,posCount,neg,negCount,neu,neuCount,count,comp
2'21,0.0958,695.0,0.0371,307.0,0.8671,489.0,1491.0,0.1543
3'21,0.1151,733.0,0.0407,379.0,0.8442,446.0,1558.0,0.1548
4'21,0.1228,908.0,0.0226,208.0,0.8547,545.0,1661.0,0.2631
5'21,0.1466,1126.0,0.0245,252.0,0.8289,740.0,2118.0,0.2638
6'21,0.1255,731.0,0.0262,177.0,0.8483,386.0,1294.0,0.2802
7'21,0.1074,691.0,0.0293,189.0,0.8632,464.0,1344.0,0.2234
8'21,0.1071,974.0,0.0281,270.0,0.8649,796.0,2040.0,0.208
9'21,0.107,1093.0,0.0318,300.0,0.8612,700.0,2093.0,0.209
10'21,0.1016,865.0,0.0211,184.0,0.8773,663.0,1712.0,0.2472
11'21,0.1152,986.0,0.0236,218.0,0.8612,733.0,1937.0,0.2487
12'21,0.1229,595.0,0.0216,115.0,0.8555,420.0,1130.0,0.2614
1'22,0.0971,693.0,0.0378,288.0,0.8651,531.0,1512.0,0.1598
2'22,0.1053,828.0,0.0354,278.0,0.8593,524.0,1630.0,0.206
