,pos,posCount,neg,negCount,neu,neuCount,count,comp,Top Words
1,0.1139,4282,0.0549,1929,0.8306,3727,9938,0.1475,"{'time': 338, 'jones': 317, 'henry': 286, 'school': 275, 'good': 272, 'people': 270, 'year': 266, 'first': 265, 'love': 245, 'think': 236}"
2,0.1123,4484,0.0512,1991,0.8357,4273,10748,0.1509,"{'atlanta': 417, 'henry': 342, 'march': 337, 'time': 331, 'today': 330, 'love': 284, 'year': 263, 'georgia': 262, 'jones': 253, 'school': 253}"
3,0.1048,4390,0.0553,2302,0.8386,4350,11042,0.1253,"{'harvard': 460, 'henry': 339, 'people': 329, 'good': 283, 'think': 283, 'time': 283, 'atlanta': 280, 'april': 275, 'love': 263, 'school': 241}"
4,0.1045,4383,0.046,1850,0.8492,4596,10829,0.1465,"{'jones': 737, 'time': 321, 'year': 317, 'good': 303, 'love': 279, 'school': 270, 'first': 268, 'hossein': 266, 'soleymani': 265, 'jahani': 265}"
5,0.0984,3532,0.0542,1994,0.8471,4224,9750,0.1082,"{'school': 472, 'e313': 439, 'soleymani': 434, 'mokhtari': 431, 'yeganejafari': 430, 'jahani': 411, 'jones': 325, 'black': 286, 'time': 275, 'good': 266}"
6,0.0766,3866,0.0731,4682,0.8499,3882,12430,0.035,"{'0mph': 4029, 'time': 3273, 'pressure': 3048, 'temperature': 3040, 'winds': 3040, 'gust': 3039, 'precipitation': 3037, '00in': 2272, '1mph': 720, 'jones': 673}"
7,0.071,4492,0.0764,6232,0.8522,5100,15824,0.0204,"{'0mph': 6125, 'time': 4477, 'pressure': 4187, 'winds': 4176, 'temperature': 4175, 'gust': 4175, 'precipitation': 4175, '00in': 3318, 'jones': 708, '1mph': 645}"
8,0.0952,12163,0.0791,11100,0.8256,11839,35102,0.0574,"{'jones': 6259, 'time': 5089, '0mph': 4781, 'pressure': 4286, 'temperature': 4177, 'winds': 4174, 'gust': 4174, 'precipitation': 4173, '00in': 2988, 'game': 2135}"
9,0.0805,8339,0.0716,8758,0.8478,10770,27867,0.0384,"{'0mph': 5438, 'time': 4836, 'pressure': 4211, 'temperature': 4176, 'winds': 4175, 'gust': 4174, 'precipitation': 4174, '00in': 3604, 'jones': 3005, '1mph': 1313}"
10,0.0765,6439,0.0747,7784,0.8487,8850,23073,0.0242,"{'0mph': 6202, 'time': 4597, 'pressure': 4198, 'temperature': 4177, 'winds': 4177, 'gust': 4175, 'precipitation': 4175, '00in': 3547, 'jones': 2755, 'game': 859}"
11,0.0731,5192,0.0778,7120,0.849,7197,19509,0.0097,"{'0mph': 6076, 'time': 4527, 'pressure': 4186, 'temperature': 4171, 'winds': 4170, 'gust': 4169, 'precipitation': 4169, '00in': 3194, 'jones': 2163, 'game': 553}"
12,0.0631,4344,0.0721,6527,0.8643,7503,18374,-0.0052,"{'0mph': 5121, 'time': 4441, 'pressure': 4181, 'winds': 4176, 'gust': 4176, 'temperature': 4173, 'precipitation': 4173, '00in': 3147, '1mph': 573, 'atlanta': 420}"
