,County,Coordinates,Area (sq/mi),Radius (mi)
0,SAINT CLAIR,"[33.4959393, -86.3035888]",631.90,14.182593182744663
1,JEFFERSON,"[33.5228184, -86.9164513]",1111.28,18.808026027964704
2,SHELBY,"[33.2503347, -86.6639746]",784.93,15.806908234154038
3,TALLAPOOSA,"[32.8595687, -85.8023774]",716.52,15.102388101646437
4,BLOUNT,"[33.9510169, -86.5702002]",644.78,14.326405747407277
5,TALLADEGA,"[33.3967079, -86.1597137]",736.77,15.314310029379415
6,MARSHALL,"[34.3396046, -86.3301801]",565.84,13.420796479027087
7,CULLMAN,"[34.1335332, -86.8779268]",734.84,15.29423863671164
8,BIBB,"[32.971079, -87.1227088]",622.58,14.077613922515159
9,WALKER,"[33.7804491, -87.2767248]",791.19,15.869814951021306
10,CHILTON,"[32.8522565, -86.7032845]",692.85,14.850842035106263
11,COOSA,"[32.9181762, -86.2327497]",650.93,14.394567210439895
12,CLAY,"[33.715158, -86.5866694493927]",603.96,13.865500671277319
13,TUSCALOOSA,"[33.2095614, -87.5675258]",1321.75,20.511911191213226
14,HALE,"[32.7412417, -87.6561668]",643.94,14.317070700705132
15,PICKENS,"[33.2948421, -88.1244034]",881.41,16.750217655328402
16,GREENE,"[32.8620514, -87.9915392]",647.11,14.352267609973866
17,SUMTER,"[32.5234698, -88.1837986]",903.89,16.96247649329578
18,WINSTON,"[34.1328863, -87.361354]",612.98,13.968655938162588
19,FAYETTE,"[33.7303493, -87.7419088]",627.66,14.1349310456221
20,MARION,"[34.1128132, -87.8544031]",742.29,15.371571620030005
21,LAMAR,"[33.7490016, -88.1003689]",604.85,13.87571306345221
22,FRANKLIN,"[34.440962, -87.8339064]",633.82,14.204123429263804
23,MORGAN,"[34.4296848, -86.8529584]",579.34,13.579951705864001
24,LAUDERDALE,"[34.9049555, -87.6747398]",667.70,14.578812688444247
25,LIMESTONE,"[34.8342463, -86.9901321]",559.94,13.350643969992486
26,COLBERT,"[34.6473396, -87.7921769]",592.62,13.73471398666169
27,LAWRENCE,"[34.4776367, -87.3017331]",690.68,14.827567444682069
28,JACKSON,"[34.7692447, -85.9867941]",1077.87,18.523142177192963
29,MADISON,"[34.7736807, -86.5675095]",801.59,15.973776855574037
30,ETOWAH,"[34.0371404, -86.022147]",534.99,13.049813351975843
31,CHEROKEE,"[34.1142554, -85.6004514]",553.70,13.276045425588476
32,DE KALB,"[34.4524349, -85.7662118]",777.09,15.72776922557638
33,AUTAUGA,"[32.5165255, -86.6319403]",594.44,13.75578821349408
34,PIKE,"[31.7615793, -85.9259465]",672.09,14.626660624305934
35,CRENSHAW,"[31.6809362, -86.3244009]",608.84,13.921404631841007
36,MONTGOMERY,"[32.3669656, -86.3006485]",784.25,15.800059835851537
37,BUTLER,"[31.7340713, -86.6754793]",776.83,15.725137894520579
38,BARBOUR,"[31.8589311, -85.4032078]",884.88,16.783157014771106
39,ELMORE,"[32.5801231, -86.125195]",618.48,14.031183297464302
40,BULLOCK,"[32.09929, -85.7091657]",622.80,14.080100993662072
41,MACON,"[32.366606, -85.6660307]",608.88,13.921861933463264
42,LOWNDES,"[32.1088066, -86.6402541]",715.91,15.095958121810959
43,COVINGTON,"[31.196549, -86.4597236]",1030.46,18.11119210116118
44,CALHOUN,"[33.7514505, -85.8315666]",605.87,13.887407917929645
45,CLEBURNE,"[33.6506958, -85.5017359]",560.10,13.352551272973036
46,RANDOLPH,"[33.2651763, -85.4693961]",580.55,13.59412574075359
47,HOUSTON,"[31.1355603, -85.2654592]",579.82,13.58557623309479
48,HENRY,"[31.4838041, -85.2447377]",561.75,13.372204466723382
49,DALE,"[31.3940969, -85.623763]",561.15,13.365061194596809
50,GENEVA,"[31.0862933, -85.803014]",574.41,13.52204771148344
51,COFFEE,"[31.3629619, -85.9870669]",678.97,14.701334552527475
52,CONECUH,"[31.3966783, -86.9437104]",850.16,16.450602243721157
53,MONROE,"[31.5593935, -87.3781004]",1025.67,18.069048951220193
54,ESCAMBIA,"[31.1168422, -87.1070947]",945.08,17.344658534869758
55,WILCOX,"[31.9523021, -87.3005169]",888.50,16.81745150595597
56,CLARKE,"[31.659134, -87.8192486]",1238.46,19.85511743519616
57,MOBILE,"[30.6943566, -88.0430541]",1229.43,19.78260006468096
58,BALDWIN,"[30.5677527, -87.7324392]",1589.78,22.495724389061934
59,WASHINGTON,"[31.3991238, -88.2019828]",1080.21,18.543237668169166
60,DALLAS,"[32.3117968, -87.1046643]",978.69,17.650379330149526
61,MARENGO,"[32.201002, -87.7569365]",976.88,17.634050374539868
62,PERRY,"[32.6421387, -87.2876639]",719.66,15.135443465384174
63,LEE,"[32.5814796, -85.3077038]",607.54,13.906534142874799
64,RUSSELL,"[32.2698458, -85.1959487]",641.14,14.285909823358804
65,CHAMBERS,"[32.8901658, -85.3866953]",596.53,13.77994908037209
66,CHOCTAW,"[31.9908095, -88.2821326]",913.50,17.052409126307698
