,County,Coordinates,Area (sq/mi),Radius (mi)
0,ANCHORAGE,"[61.1758781, -149.1107333]",1704.68,23.29447360207779
1,BETHEL,"[61.3204199, -159.3709719]",40569.97,113.6406767228013
2,ALEUTIANS WEST,"[51.5672222, 178.8776]",4390.27,37.38325240107879
3,LAKE AND PENINSULA,"[58.3277109, -156.154765]",23651.99,86.7691436568543
4,KODIAK ISLAND,"[57.5433765, -153.3574124]",6549.57,45.6602055287976
5,ALEUTIANS EAST,"[55.0512443, -162.8916892]",6981.94,47.14325056179041
6,WADE HAMPTON,"[62.2002165, -163.764702]",17081.42,73.73835648597617
7,DILLINGHAM,"[59.0397222, -158.4575]",18568.76,76.88168967048792
8,KENAI PENINSULA,"[60.5544444, -151.2583333]",16075.32,71.53379757462925
9,YUKON KOYUKUK,"[65.7963587, -152.4239927]",145504.68,215.213717348517
10,VALDEZ CORDOVA,"[61.2620896, -144.7914471]",34239.85,104.3992538374409
11,BRISTOL BAY,"[58.7370341, -156.8753867]",503.84,12.664200848418286
12,MATANUSKA SUSITNA,"[62.3402481, -149.4793288]",24607.88,88.50515522832269
13,NOME,"[64.5011111, -165.4063889]",22961.74,85.49365129590115
14,YAKUTAT,"[59.6391781, -139.3429439]",7649.45,49.3453885613883
15,FAIRBANKS NORTH STAR,"[64.8649039, -146.7751619]",7338.20,48.33105107660772
16,DENALI,"[63.878678, -149.650166]",12751.40,63.71041040083342
17,NORTH SLOPE,"[69.5335129, -153.8220681]",88695.34,168.02808174994243
18,NORTHWEST ARCTIC,"[67.2385127, -159.9816347]",35572.56,106.4116134722908
19,SOUTHEAST FAIRBANKS,"[63.9412119, -143.7303712]",24768.79,88.79404966779123
20,JUNEAU,"[58.3019496, -134.419734]",2701.93,29.32705911996318
21,HOONAH ANGOON,"[57.57666, -134.1311512]",7524.91,48.942046236968174
22,HAINES,"[59.0831232, -135.3430573]",2318.60,27.16716895877158
23,PETERSBURG,"[56.8127965, -132.95547]",3281.98,32.32208984029528
24,SITKA,"[57.4086082, -135.4596206]",2870.34,30.227215313343635
25,SKAGWAY,"[59.4556412, -135.3116103]",452.32,11.999257232039113
26,KETCHIKAN GATEWAY,"[55.489748, -131.011963]",4858.41,39.325888993406835
27,PRINCE OF WALES HYDER,"[55.40407, -132.948303]",3922.87,35.33730509400371
28,WRANGELL,"[56.2045673, -132.0432552]",2541.48,28.442961679039026
