,County,Coordinates,Area (sq/mi),Radius (mi)
0,MARICOPA,"[33.34883, -112.49123]",9200.14,54.11637356321371
1,PINAL,"[32.8085851, -111.4426212]",5365.61,41.32767935672477
2,GILA,"[33.74135485, -110.68128894247536]",4757.93,38.91710195334334
3,PIMA,"[32.1112624, -111.6546163]",9187.03,54.07780248815695
4,YAVAPAI,"[34.5668857, -112.5515965]",8123.49,50.85138583196484
5,LA PAZ,"[33.7923828, -114.0184443]",4499.63,37.84598995815515
6,YUMA,"[32.6926588, -114.6276157]",5513.99,41.89521804362411
7,MOHAVE,"[35.7218038, -113.8271174]",13311.07,65.09354915544301
8,GRAHAM,"[32.8397096, -109.8685752]",4622.59,38.35960758235613
9,GREENLEE,"[33.2312681, -109.2751297]",1843.12,24.22190373861197
10,COCHISE,"[31.8514532, -109.8181858]",6165.69,44.30189573753969
11,SANTA CRUZ,"[31.5094579, -110.8476281]",1236.92,19.84276887642229
12,NAVAJO,"[35.1819775, -110.3549451]",9950.41,56.27972360905284
13,APACHE,"[35.214632, -109.4786676]",11197.51,59.70245603328372
14,COCONINO,"[35.9363252, -111.6948197]",18618.87,76.98535695455972
