,County,Coordinates,Area (sq/mi),Radius (mi)
0,LOS ANGELES,"[34.0536909, -118.242766]",4057.88,35.94024786393063
1,ORANGE,"[33.7500378, -117.8704931]",790.57,15.863595703043982
2,VENTURA,"[34.4458248, -119.0779359]",1843.13,24.221969447493883
3,SAN BERNARDINO,"[34.1083449, -117.2897652]",20056.92,79.90309266686981
4,RIVERSIDE,"[33.9533546, -117.3961623]",7206.47,47.895284738427804
5,SAN DIEGO,"[32.7174202, -117.1627728]",4206.63,36.593051369936184
6,IMPERIAL,"[33.0305487, -115.3595666]",4176.60,36.4622034545034
7,INYO,"[36.5595325, -117.4074712]",10180.87,56.927736205218096
8,SANTA BARBARA,"[34.4221319, -119.7026673]",2735.08,29.506417616623814
9,TULARE,"[36.2516475, -118.852583]",4824.21,39.18723039387985
10,KINGS,"[36.0784807, -119.7956342]",1389.42,21.030434279954886
11,KERN,"[35.3145701, -118.7538222]",8131.91,50.87773274547902
12,FRESNO,"[36.7295295, -119.70886126075588]",5957.99,43.54931747664755
13,SAN LUIS OBISPO,"[35.3540209, -120.3757163]",3298.56,32.403629815359984
14,MONTEREY,"[36.2231079, -121.3877428]",3280.59,32.315244511730626
15,MONO,"[37.9533927, -118.9398758]",3048.98,31.15363703884428
16,MADERA,"[37.1716264, -119.7737991]",2137.07,26.081997074286647
17,MERCED,"[37.1641544, -120.7678602]",1934.97,24.818103192242532
18,MARIPOSA,"[37.570148, -119.9036592]",1448.82,21.47527254525273
19,SAN MATEO,"[37.496904, -122.3330573]",448.41,11.947281940190232
20,SANTA CLARA,"[37.3541132, -121.955174]",1290.10,20.2648389010812
21,SAN FRANCISCO,"[37.7790262, -122.419906]",46.87,3.8625929611151633
22,SACRAMENTO,"[38.5810606, -121.493895]",964.64,17.52322757642579
23,ALAMEDA,"[37.6090291, -121.899142]",739.02,15.337676161758438
24,NAPA,"[38.2971367, -122.2855293]",748.36,15.43429337755054
25,CONTRA COSTA,"[37.9034806, -121.9175345]",715.94,15.096274414361222
26,SOLANO,"[38.2218938, -121.9163555]",821.76,16.17349828555756
27,MARIN,"[38.0409144, -122.6199638]",520.31,12.869526082015623
28,SONOMA,"[38.5110803, -122.8473388]",1575.85,22.396951317056153
29,SANTA CRUZ,"[36.9743626, -122.0294673]",445.17,11.904040965566434
30,SAN BENITO,"[36.6248089, -121.1177379]",1388.71,21.025060269088332
31,SAN JOAQUIN,"[37.9372901, -121.2773719]",1391.32,21.04480868586223
32,CALAVERAS,"[38.2558181, -120.4981492]",1020.01,18.01912436577977
33,TUOLUMNE,"[38.056944, -119.9919351]",2220.88,26.588510860078
34,STANISLAUS,"[37.5500871, -121.0501425]",1494.83,21.8136012776502
35,MENDOCINO,"[39.3176491, -123.4126399]",3506.34,33.40861571527355
36,LAKE,"[39.0505411, -122.7776556]",1256.46,19.998885851507016
37,HUMBOLDT,"[40.5997415, -123.8997734]",3567.98,33.70099114380001
38,TRINITY,"[40.6053256, -123.171268]",3179.25,31.812207603406904
39,DEL NORTE,"[41.7261767, -123.91328]",1006.37,17.89823924325834
40,SISKIYOU,"[41.5007223, -122.54435414752092]",6277.88,44.7031341777725
41,AMADOR,"[38.449089, -120.5911018]",594.58,13.75740797072236
42,PLACER,"[39.1012064, -120.7650606]",1407.01,21.163137811705603
43,YOLO,"[38.7184542, -121.9059001]",1014.69,17.972072344905683
44,EL DORADO,"[38.7574137, -120.5276129]",1707.88,23.316327371081442
45,ALPINE,"[38.5893934, -119.8345013]",738.33,15.330514333959998
46,SUTTER,"[38.9509675, -121.697088]",602.41,13.847697064498924
47,YUBA,"[39.2839755, -121.3556818]",631.84,14.18191983586078
48,NEVADA,"[39.3540335, -120.8089843]",957.77,17.460717375905123
49,SIERRA,"[39.5849065, -120.5305731]",953.21,17.41910202595808
50,COLUSA,"[39.1465578, -122.2209563]",1150.73,19.13895343108009
51,GLENN,"[39.5912766, -122.3778662]",1313.95,20.451298501004974
52,BUTTE,"[39.6519275, -121.5858444]",1636.46,22.823600932144522
53,PLUMAS,"[39.9430988, -120.8059521]",2553.04,28.50757513162782
54,SHASTA,"[40.7965121, -121.9979194]",3775.40,34.66673604387496
55,MODOC,"[41.5450487, -120.7435998]",3917.77,35.31432716346323
56,LASSEN,"[40.7685579, -120.730998]",4541.18,38.02032511377464
57,TEHAMA,"[40.1251334, -122.2015529]",2949.71,30.64228363544457
