,County,Coordinates,Area (sq/mi),Radius (mi)
0,JEFFERSON,"[39.5699803, -105.2561919]",764.21,15.59688342461014
1,ARAPAHOE,"[39.6416781, -104.3628567]",798.10,15.938965235064757
2,ADAMS,"[39.8714085, -104.2701374]",1167.65,19.27914677979964
3,BROOMFIELD,"[39.9203827, -105.0691464]",33.03,3.2425430803436934
4,BOULDER,"[40.0149856, -105.270545]",726.29,15.20500265314015
5,ELBERT,"[39.3138822, -104.0868973]",1850.85,24.272643628422482
6,DOUGLAS,"[39.3420437, -104.9468945]",840.25,16.354441909569523
7,EL PASO,"[38.8287435, -104.5253456]",2126.80,26.019251189008767
8,DENVER,"[39.7392364, -104.9848623]",153.00,6.978742648751591
9,PARK,"[39.1089299, -105.7561639]",2193.84,26.42615289029508
10,GILPIN,"[39.8586654, -105.5025219]",149.90,6.907681174416275
11,EAGLE,"[39.6161124, -106.7172844]",1684.53,23.156389334741355
12,SUMMIT,"[39.6070951, -106.0636654]",608.36,13.915915840210188
13,ROUTT,"[40.4514373, -106.9724072]",2362.02,27.420366374678476
14,LAKE,"[39.2056525, -106.342801]",376.91,10.953434057445353
15,JACKSON,"[40.6531945, -106.3447246]",1613.72,22.664469533032346
16,CLEAR CREEK,"[39.6754591, -105.6435349]",395.23,11.216475683330081
17,GRAND,"[40.0990074, -106.1366966]",1846.33,24.24298714252989
18,WELD,"[40.5632344, -104.4835287]",3987.23,35.626003982993595
19,LARIMER,"[40.6810174, -105.4726907]",2596.00,28.746423010635848
20,MORGAN,"[40.2407621, -103.8225695]",1280.43,20.18874806185242
21,WASHINGTON,"[39.9017011, -103.1521676]",2518.03,28.31143730181392
22,PHILLIPS,"[40.5888329, -102.3701723]",687.93,14.798019405395351
23,LOGAN,"[40.7250975, -103.1221379]",1838.55,24.191856101575674
24,YUMA,"[40.0163487, -102.458253]",2364.40,27.43417744336925
25,SEDGWICK,"[40.8698595, -102.3777262]",548.04,13.208016317757004
26,CHEYENNE,"[38.8307233, -102.6177692]",1778.27,23.791965362042625
27,LINCOLN,"[38.9208296, -103.4885462]",2577.62,28.644478135341004
28,KIT CARSON,"[39.3080613, -102.62075]",2160.82,26.2265257734628
29,TELLER,"[38.889575, -105.1797307]",557.06,13.316265801781984
30,PUEBLO,"[38.2544472, -104.609141]",2386.10,27.559782659613006
31,LAS ANIMAS,"[37.3096626, -104.0591427]",4772.67,38.97733765342498
32,KIOWA,"[38.4411214, -102.7628476]",1767.77,23.72162016830215
33,BACA,"[37.3147687, -102.5770885]",2554.96,28.518292601274897
34,OTERO,"[37.8872079, -103.7415268]",1261.96,20.04260939373623
35,CROWLEY,"[38.3394806, -103.8263042]",787.42,15.83196017288461
36,BENT,"[37.9421152, -103.0964287]",1512.86,21.944760131172686
37,HUERFANO,"[37.7013983, -105.0218531]",1591.00,22.504354363171565
38,PROWERS,"[37.9455797, -102.4130793]",1638.39,22.837055758329623
39,ALAMOSA,"[37.5780995, -105.7890452]",722.64,15.166747849524368
40,CONEJOS,"[37.1851939, -106.1655431]",1287.39,20.24354342632744
41,ARCHULETA,"[37.1995993, -107.0842479]",1350.17,20.73125983846359
42,LA PLATA,"[37.2889732, -107.8539029]",1692.08,23.20822435134957
43,COSTILLA,"[37.2367948, -105.4182008]",1226.95,19.762637311832133
44,RIO GRANDE,"[37.5668223, -106.3832155]",911.96,17.038029385133267
45,MINERAL,"[37.6584133, -106.9311267]",875.67,16.69558740706009
46,SAGUACHE,"[38.0945348, -106.3563372]",3168.52,31.758478974751768
47,CHAFFEE,"[38.7413025, -106.1825012]",1013.40,17.960644545972293
48,GUNNISON,"[38.6476702, -107.0603126]",3239.10,32.110246980754425
49,FREMONT,"[38.4692006, -105.4328622]",1533.07,22.090851720722227
50,MONTROSE,"[38.4375391, -108.2403855]",2240.69,26.70683085989468
51,HINSDALE,"[37.813681, -107.3304179]",1117.25,18.858478441692032
52,CUSTER,"[38.1072962, -105.3543375]",738.62,15.333524785034923
53,DOLORES,"[37.7524811, -108.4596087]",1067.05,18.429937101610356
54,MONTEZUMA,"[37.3476546, -108.6260849]",2029.53,25.417287751296005
55,SAN MIGUEL,"[38.0292476, -108.4712533]",1286.61,20.237409948402586
56,DELTA,"[38.8368777, -107.8568294]",1142.05,19.066633870107175
57,OURAY,"[38.146044, -107.7414887]",541.59,13.130062289697584
58,SAN JUAN,"[37.7633081, -107.6495508]",387.49,11.106103527888568
59,MESA,"[39.0589084, -108.565996]",3328.97,32.55265448992268
60,GARFIELD,"[39.5462048, -107.8776144]",2947.56,30.63111424606417
61,MOFFAT,"[40.6083135, -108.252345]",4743.29,38.857182479847445
62,PITKIN,"[39.2037774, -106.8695332]",970.70,17.578183054487045
63,RIO BLANCO,"[39.9847294, -108.1807779]",3220.93,32.020057775592036
