,County,Coordinates,Area (sq/mi),Radius (mi)
0,DEKALB,"[33.7575613, -84.2186508]",267.58,9.229077494474364
1,GWINNETT,"[33.9566869, -84.0227467]",430.38,11.704625121890565
2,FULTON,"[34.0580391, -84.2961283]",526.63,12.947450690727768
3,COBB,"[33.9373948, -84.5732006]",339.55,10.396408493585378
4,BARROW,"[33.9848611, -83.6996482]",160.31,7.143511941065172
5,ROCKDALE,"[33.6430283, -84.0322064]",129.79,6.4276479837167795
6,NEWTON,"[33.5715512, -83.8446101]",272.16,9.307726557811849
7,WALTON,"[33.762884, -83.740416]",325.68,10.18185745489965
8,FORSYTH,"[34.235309, -84.1335644]",224.02,8.444517974015149
9,CHEROKEE,"[34.2391265, -84.4720272]",421.67,11.585581054285992
10,BARTOW,"[34.2394683, -84.8406984]",459.54,12.094645066334044
11,POLK,"[33.9981581, -85.1567475]",310.33,9.93901506047926
12,FLOYD,"[34.2421984, -85.2229248]",509.91,12.740258283240063
13,CARROLL,"[33.5588005, -85.0641272]",499.08,12.604236723567748
14,HARALSON,"[33.7812701, -85.2001291]",282.16,9.477181354037526
15,DOUGLAS,"[33.6995565, -84.7622973]",200.07,7.980359465312774
16,PAULDING,"[33.8908526, -84.8569161]",312.22,9.96923486536114
17,GORDON,"[34.5019651, -84.8986308]",355.81,10.642423641469428
18,PICKENS,"[34.4630619, -84.4682402]",232.06,8.594717608990456
19,LAMAR,"[33.0649401, -84.1445952]",183.50,7.6427473346684724
20,FAYETTE,"[33.3899269, -84.4953763]",194.34,7.865250647897848
21,PIKE,"[33.081484, -84.3969481]",216.09,8.293709180385138
22,SPALDING,"[33.2591296, -84.2770865]",196.47,7.908235442143322
23,BUTTS,"[33.2825083, -83.9548161]",184.39,7.661259098584813
24,HEARD,"[33.2786225, -85.113782]",296.03,9.707319648127136
25,MERIWETHER,"[33.0373582, -84.6717803]",501.22,12.631230606341983
26,COWETA,"[33.3500656, -84.7545734]",440.89,11.846678218647225
27,HENRY,"[33.4519942, -84.1367771]",322.13,10.126212905542317
28,TROUP,"[33.0237625, -85.0254022]",413.99,11.479590425591338
29,CLAYTON,"[33.5204959, -84.3591713]",141.57,6.713006752047251
30,UPSON,"[32.8641062, -84.2904968]",323.44,10.146782054307453
31,EMANUEL,"[32.6078163, -82.2922815]",680.60,14.718970685558704
32,MONTGOMERY,"[32.0839135, -82.539273]",239.52,8.73177144479067
33,WHEELER,"[32.112996, -82.7567324]",295.48,9.698297744969864
34,JEFFERSON,"[33.0380388, -82.436141]",526.48,12.945606648500185
35,EVANS,"[32.1613648, -81.8980725]",182.85,7.629199125290361
36,BULLOCH,"[32.3846338, -81.744832]",672.81,14.634493188903699
37,TATTNALL,"[32.0252793, -82.0580692]",479.40,12.353228730451283
38,SCREVEN,"[32.7623379, -81.6272037]",645.10,14.329960356089563
39,BURKE,"[33.0482247, -81.9575983]",826.97,16.22468767686091
40,TOOMBS,"[32.1296839, -82.3299928]",364.00,10.76420994873604
41,CANDLER,"[32.4146577, -82.0930776]",243.04,8.795698744804678
42,JENKINS,"[32.7793141, -81.9613566]",347.28,10.514081869345889
43,LAURENS,"[32.4239975, -82.9388938]",807.30,16.03056923778871
