,County,Coordinates,Area (sq/mi),Radius (mi)
0,BUTLER,"[41.2142454, -97.1384119]",584.91,13.645077013013562
1,WASHINGTON,"[41.5407766, -96.246548]",389.96,11.141444438650316
2,SAUNDERS,"[41.2260007, -96.6520834]",750.23,15.453564931986225
3,CUMING,"[41.9233919, -96.7921475]",570.62,13.477364143715013
4,SARPY,"[41.1193462, -96.093081]",238.99,8.722105442421501
5,DOUGLAS,"[41.2954112, -96.1415672]",328.45,10.225065555854318
6,CASS,"[40.9017313, -96.1922102]",557.45,13.320926372465953
7,BURT,"[41.855662, -96.3357902]",491.58,12.509172187918491
8,DODGE,"[41.58577, -96.6789773]",528.71,12.97299439139745
9,DAKOTA,"[42.4049316, -96.5677015]",264.25,9.171470340998791
10,THURSTON,"[42.1837827, -96.5394986]",393.58,11.193038012633215
11,GAGE,"[40.2469449, -96.7021336]",851.49,16.463464969922107
12,THAYER,"[40.1682672, -97.6348188]",573.81,13.514983638432394
13,NEMAHA,"[40.3837713, -95.8518344]",407.38,11.387576824621403
14,SEWARD,"[40.8695533, -97.1706676]",571.43,13.48692636868842
15,YORK,"[40.871617, -97.6001401]",572.51,13.499665465877058
16,LANCASTER,"[40.7768326, -96.7111039]",837.55,16.328144662914323
17,PAWNEE,"[40.1223248, -96.2629022]",431.07,11.71400399279477
18,OTOE,"[40.6566851, -96.1444582]",615.63,13.998817621337876
19,JOHNSON,"[40.3915587, -96.2796179]",376.05,10.940930631119283
20,SALINE,"[40.5079612, -97.175536]",574.02,13.517456483920489
21,RICHARDSON,"[40.1194651, -95.7607517]",551.84,13.253728090323005
22,JEFFERSON,"[40.185543, -97.1786805]",570.18,13.472167003924534
23,FILLMORE,"[40.5292758, -97.5997675]",575.37,13.533342558839532
24,CLAY,"[40.5020772, -98.0695257]",572.29,13.49707143977028
25,PLATTE,"[41.538537500000004, -97.54136640081376]",674.06,14.648081443959097
26,BOONE,"[41.7103804, -98.0544842]",686.55,14.783169407269105
