,County,Coordinates,Area (sq/mi),Radius (mi)
0,SUFFOLK,"[40.8832318, -72.8578027]",912.05,17.03887009350519
1,NEW YORK,"[40.7127281, -74.0060152]",22.83,2.6957798557593327
2,RICHMOND,"[40.564209, -74.12530461995391]",58.37,4.310486751739881
3,BRONX,"[40.8466508, -73.8785937]",42.10,3.6607706081055538
4,WESTCHESTER,"[41.1763139, -73.7907554]",430.50,11.706256769646716
5,PUTNAM,"[41.426996, -73.760156]",230.31,8.562249240029429
6,ROCKLAND,"[41.1519319, -74.0357266]",173.55,7.432651615875259
7,ORANGE,"[41.3873306, -74.2507287]",811.69,16.07409629501505
8,NASSAU,"[40.7430237, -73.56882214900722]",284.72,9.520076877806746
9,QUEENS,"[40.7135078, -73.8283132]",108.53,5.877685839886723
10,KINGS,"[40.6667702, -73.8823583]",70.82,4.747985994199447
11,ALBANY,"[42.6511674, -73.754968]",522.80,12.900283584809994
12,SCHENECTADY,"[42.831851, -74.04453876882181]",204.52,8.068621813292518
13,MONTGOMERY,"[42.8941269, -74.4099745]",403.04,11.326755947158363
14,GREENE,"[42.2628769, -74.0878112]",647.16,14.352822074840073
15,COLUMBIA,"[42.2415027, -73.6723456]",634.70,14.213980559825076
16,RENSSELAER,"[42.7091389, -73.5107732]",652.43,14.4111430527637
17,SARATOGA,"[43.0833231, -73.8712155]",809.98,16.05715559314537
18,FULTON,"[43.1061507, -74.4461771]",495.47,12.558568819883744
19,WASHINGTON,"[43.2294536, -73.4471343]",831.18,16.265934167953567
20,SCHOHARIE,"[42.5757217, -74.4390277]",621.82,14.069018839385222
21,OTSEGO,"[42.5984272, -75.0142701]",1001.70,17.856663098077682
22,HAMILTON,"[43.6307863, -74.4659275]",1717.37,23.38101734287676
23,DELAWARE,"[42.194917, -75.0016302]",1442.44,21.427936296416533
24,ULSTER,"[41.8689317, -74.2618518]",1124.23,18.917295728245698
25,DUTCHESS,"[41.7194303, -73.7516205]",795.63,15.914281766930285
26,SULLIVAN,"[41.7156311, -74.7804323]",968.13,17.554897862484964
27,WARREN,"[43.5018687, -73.8164637]",866.95,16.61225134638529
28,ESSEX,"[44.0638879, -73.7542043]",1794.23,23.89849349656542
29,CLINTON,"[44.7278943, -73.6686982]",1037.85,18.176018781948315
30,FRANKLIN,"[44.5599139, -74.3273735]",1629.12,22.77235815713702
31,SAINT LAWRENCE,"[44.4973591, -75.0657043]",2680.38,29.209871897461564
32,ONONDAGA,"[43.015598, -76.2257127]",778.39,15.740919282859215
33,CAYUGA,"[42.8093409, -76.5700777]",691.58,14.837224931684645
34,OSWEGO,"[43.4112973, -76.1279841]",951.65,17.404842352717097
35,MADISON,"[42.875882, -75.6802581]",654.84,14.437735055683726
36,CORTLAND,"[42.5842136, -76.0704906]",498.76,12.600195284835058
37,TOMPKINS,"[42.443114, -76.47259209120807]",474.65,12.291877135500695
38,ONEIDA,"[43.2144051, -75.4039155]",1212.43,19.64535155341258
39,SENECA,"[42.7831619, -76.8386051]",323.71,10.151016316687626
40,CHENANGO,"[42.4784565, -75.6130279]",893.55,16.865176770198776
41,WAYNE,"[43.1500557, -77.0377603]",603.83,13.86400834389325
42,LEWIS,"[43.7344277, -75.440289]",1274.68,20.14336646338232
43,HERKIMER,"[43.4911326, -74.9481252]",1411.47,21.196653179224267
44,JEFFERSON,"[44.059311, -75.9995742]",1268.59,20.09518967559257
45,TIOGA,"[42.1333395, -76.3309339]",518.60,12.848360814389656
46,BROOME,"[42.1455623, -75.8404114]",705.77,14.988668859333615
47,ERIE,"[42.7164263, -78.7620327]",1042.69,18.218351298869532
48,GENESEE,"[43.0102726, -78.1780196]",492.94,12.526464107638239
49,NIAGARA,"[43.2042439, -78.7676017]",522.36,12.894853860663025
50,WYOMING,"[42.7039813, -78.2415228]",592.75,13.736220360821621
51,ALLEGANY,"[42.2446061, -78.0419281]",1029.31,18.101083176423344
52,CATTARAUGUS,"[42.2234823, -78.6477096]",1308.35,20.407670676525257
53,CHAUTAUQUA,"[42.2894671, -79.421728]",1060.23,18.37094565119203
54,ORLEANS,"[43.2244513, -78.2272835]",391.26,11.159999965772121
55,MONROE,"[43.150094, -77.6810141]",657.20,14.46372797812882
56,LIVINGSTON,"[42.7360902, -77.7781416]",631.76,14.181021990281339
57,YATES,"[42.6444444, -77.112177]",338.14,10.374800209586061
58,ONTARIO,"[42.8580624, -77.295025]",644.06,14.318404651423187
59,STEUBEN,"[42.2359045, -77.3750862]",1390.56,21.039060102013256
60,SCHUYLER,"[42.3903231, -76.8691575]",328.33,10.223197509028696
61,CHEMUNG,"[42.1384667, -76.7725493]",407.35,11.387157518820379
