,County,Coordinates,Area (sq/mi),Radius (mi)
0,WASCO,"[45.0430227, -121.2154207]",2381.52,27.533320140679056
1,MARION,"[44.8964425, -122.7203248]",1182.32,19.39987743028401
2,CLACKAMAS,"[45.1608821, -122.2305038]",1870.32,24.399977561090022
3,WASHINGTON,"[45.5601883, -123.0587907]",724.23,15.183424118988476
4,MULTNOMAH,"[45.5093799, -122.4006413]",431.30,11.7171286148222
5,HOOD RIVER,"[45.5311636, -121.6475587]",521.95,12.88979228635671
6,COLUMBIA,"[45.9280203, -123.082293]",657.36,14.465488519548295
7,SHERMAN,"[45.3944268, -120.6963746]",823.69,16.19247982837098
8,YAMHILL,"[45.2298399, -123.2180414]",715.86,15.095430952833334
9,CLATSOP,"[45.980728, -123.6687499]",829.05,16.245079079588532
10,TILLAMOOK,"[45.460293, -123.7266793]",1102.58,18.734259136212962
11,POLK,"[44.879673, -123.4599594]",740.79,15.356032533124036
12,LINN,"[44.4968904, -122.5485977]",2290.13,26.999861471812324
13,BENTON,"[44.494937, -123.4065679]",675.94,14.668494477089839
14,LINCOLN,"[44.6201742, -123.9276915]",979.76,17.660025258237823
15,LANE,"[43.9314567, -122.8575849]",4553.12,38.07027520115206
16,CURRY,"[42.4265426, -124.216879]",1627.46,22.760753195834706
17,COOS,"[43.2184144, -124.109621]",1596.17,22.540888978719956
18,DOUGLAS,"[43.1922115, -123.1135963]",5036.07,40.03845835421019
19,JOSEPHINE,"[42.3554368, -123.5602707]",1639.67,22.845974796013262
20,JACKSON,"[42.398015, -122.7540948]",2783.55,29.76671993667821
21,KLAMATH,"[42.6052565, -121.739544]",5941.05,43.48736281008942
22,LAKE,"[42.7702847, -120.4528326]",8138.98,50.899844858203735
23,DESCHUTES,"[43.8194838, -121.1669662]",3018.18,30.995884680094274
24,HARNEY,"[43.055195, -119.0240263]",10133.16,56.794191048709266
25,JEFFERSON,"[44.6072499, -121.2463145]",1780.78,23.808750432707686
26,WHEELER,"[44.6768382, -120.0484375]",1714.75,23.36317562938343
27,CROOK,"[44.1460291, -120.3839476]",2979.08,30.794457025237993
28,UMATILLA,"[45.6416995, -118.7671122]",3215.51,31.993105655530137
29,GILLIAM,"[45.3298742, -120.2202197]",1204.81,19.583519724184463
30,BAKER,"[44.7259637, -117.6204818]",3068.36,31.2524899533248
31,GRANT,"[44.464824, -119.0565278]",4528.54,37.967375022917096
32,MORROW,"[45.360901, -119.6052459]",2031.61,25.43030909608817
33,UNION,"[45.2680014, -118.0257466]",2036.60,25.461520651779672
34,WALLOWA,"[45.5582608, -117.1990173]",3146.19,31.646372894790776
35,MALHEUR,"[43.1023481, -117.6916892]",9887.52,56.101588126851865
