,County,Coordinates,Area (sq/mi),Radius (mi)
0,TRAVIS,"[30.2878569, -97.7561392]",990.20,17.75386564510897
1,SHERMAN,"[36.2452294, -101.8858689]",923.03,17.141127141889285
2,DALLAS,"[32.7762719, -96.7968559]",871.28,16.653684795050754
3,COLLIN,"[33.1609629, -96.6060984]",841.22,16.363879120474127
4,DENTON,"[33.1838787, -97.1413417]",878.43,16.72187788687813
5,GRAYSON,"[33.5636114, -96.6702111]",932.80,17.23160523583513
6,ROCKWALL,"[32.8923464, -96.4066987]",127.04,6.359188674543336
7,ELLIS,"[32.3347829, -96.7920233]",935.49,17.256433520613257
8,NAVARRO,"[32.0279525, -96.4985456]",1009.63,17.92720527139993
9,VAN ZANDT,"[32.5375642, -95.8292165]",842.56,16.37690714686262
10,KAUFMAN,"[32.601641, -96.3375126]",780.70,15.76425885961548
11,HENDERSON,"[32.182598, -95.7893178]",873.75,16.67727393371764
12,HUNT,"[33.1161567, -96.0808922]",840.32,16.355123127713842
13,WOOD,"[32.7577475, -95.3812941]",645.23,14.331404164029031
14,LAMAR,"[33.6383552, -95.582343]",907.19,16.99341232332629
15,RED RIVER,"[33.571979, -95.0429674]",1036.58,18.164894529929516
16,FANNIN,"[33.5372542, -96.0902822]",890.84,16.839582603404505
17,DELTA,"[33.3926893, -95.6749486]",256.82,9.041612467269115
18,HOPKINS,"[33.1368252, -95.5656578]",767.17,15.627059787836144
19,RAINS,"[32.8685085, -95.7964017]",229.45,8.546248151823404
20,CAMP,"[32.9723128, -94.9852858]",195.83,7.895344417621265
21,TITUS,"[33.2040399, -94.9651725]",406.05,11.368972746115887
22,FRANKLIN,"[33.16011905, -95.21652077002003]",284.39,9.514558234561079
23,BOWIE,"[33.4198886, -94.4479626]",885.00,16.784294971650386
24,CASS,"[33.0560857, -94.3510366]",936.96,17.269986311067708
25,MARION,"[32.7931661, -94.344488]",380.88,11.010969311078158
26,MORRIS,"[33.0738633, -94.7392197]",251.98,8.956008637836005
27,GREGG,"[32.4492408, -94.8532848]",273.30,9.32719988247387
28,PANOLA,"[32.1367712, -94.3130073]",801.75,15.975370985224409
29,UPSHUR,"[32.7263725, -94.9286251]",582.95,13.622195891763425
30,HARRISON,"[32.5233959, -94.3982158]",899.95,16.925466931377038
31,RUSK,"[32.051377, -94.7906553]",924.03,17.150409877569853
32,SMITH,"[32.3402898, -95.2563971]",921.45,17.126450164617502
33,CHEROKEE,"[31.8390826, -95.1791849]",1052.91,18.307417814418088
34,NACOGDOCHES,"[31.5970503, -94.5927451]",946.54,17.358050749770523
35,ANDERSON,"[31.7819242, -95.6258199]",1062.60,18.391467064891298
36,LEON,"[31.2715127, -95.9953382]",1073.15,18.482541198172118
37,TRINITY,"[31.0834452, -95.1219348]",693.61,14.85898488457726
38,HOUSTON,"[29.7589382, -95.3676974]",1230.91,19.794503728181176
39,FREESTONE,"[31.6924428, -96.1629601]",877.74,16.715309143549923
40,MADISON,"[30.9551586, -95.9507234]",466.06,12.18014289524517
41,ANGELINA,"[31.2544545, -94.6181177]",797.78,15.935769532622157
42,NEWTON,"[30.8118989, -93.740504]",933.68,17.239731435407712
43,SAN AUGUSTINE,"[31.3970365, -94.1751389]",530.66,12.996896016510332
44,SABINE,"[31.3325489, -93.8722218]",491.39,12.506754501663865
45,JASPER,"[30.7485258, -94.000884]",938.84,17.28730364805403
46,POLK,"[30.7642828, -94.8192175]",1057.09,18.343721585271695
47,SHELBY,"[31.7716364, -94.1301652]",795.58,15.913781706229921
48,TYLER,"[30.7563939, -94.3984613]",924.50,17.154771028129012
49,TARRANT,"[32.7513658, -97.335696]",863.61,16.58022039719451
50,PARKER,"[32.7599475, -97.7935767]",903.48,16.958629009538974
51,JOHNSON,"[32.3766071, -97.3568623]",724.69,15.188245285194329
52,WISE,"[33.2139213, -97.6563925]",904.42,16.96744877702464
53,HOOD,"[32.4107555, -97.828282]",420.64,11.571422536273209
