,County,Coordinates,Area (sq/mi),Radius (mi)
0,LOUDOUN,"[39.0984586, -77.6705008]",515.56,12.810647330368521
1,CULPEPER,"[38.4912207, -77.9618216]",379.23,10.987093262870854
2,MANASSAS CITY,"[38.767417300000005, -77.44110204246832]",9.88,1.7734132145139498
3,PRINCE WILLIAM,"[38.7389846, -77.5536743]",336.40,10.348072470352303
4,MANASSAS PARK CITY,"[38.767417300000005, -77.44110204246832]",2.53,0.8974117025128981
5,FAUQUIER,"[38.7513714, -77.8141221]",647.45,14.356037548764766
6,FAIRFAX,"[38.8462236, -77.3063733]",390.97,11.155863330397448
7,CLARKE,"[39.119728, -77.9926448]",176.18,7.488757556110587
8,FAIRFAX CITY,"[38.8462236, -77.3063733]",6.24,1.409365911042275
9,FALLS CHURCH CITY,"[38.8834451, -77.1894251]",2.00,0.7978963268897217
10,STAFFORD,"[38.4167265, -77.4579783]",268.96,9.25284561621199
11,ARLINGTON,"[38.8769326, -77.0893094]",25.97,2.875195915378022
12,ALEXANDRIA CITY,"[38.806296849999995, -77.089204696926]",15.03,2.1873131215506807
13,FREDERICKSBURG CITY,"[38.3009999, -77.511178]",10.44,1.8229792162783018
14,SPOTSYLVANIA,"[38.1880936, -77.6741751]",401.50,11.30509569195104
15,CAROLINE,"[38.0320305, -77.362363]",527.51,12.958263786100018
16,NORTHUMBERLAND,"[37.9314992, -76.4836686]",191.30,7.803491344301733
17,ORANGE,"[38.2490349, -78.013983]",340.78,10.415221662201894
18,ESSEX,"[37.9140592, -76.9326385]",257.12,9.046891830377211
19,WESTMORELAND,"[38.1153203, -76.7567355]",229.37,8.544758155185342
20,KING GEORGE,"[38.2786312, -77.175356]",179.64,7.561935891228271
21,RICHMOND,"[37.5385087, -77.43428]",191.49,7.807365613489365
22,LANCASTER,"[37.7625738, -76.4723233]",133.25,6.512760036376382
23,WINCHESTER CITY,"[36.8300544, -76.3600809]",9.23,1.7140848582149792
24,FREDERICK,"[39.2127031, -78.279166]",413.50,11.47279477263298
25,WARREN,"[38.9131907, -78.2096656]",213.47,8.243276986145542
26,RAPPAHANNOCK,"[38.6926326, -78.1495818]",266.23,9.205766691525477
27,SHENANDOAH,"[38.856559, -78.5890893]",508.78,12.7261337547499
28,PAGE,"[38.6002354, -78.5016516]",310.86,9.947498659852965
29,MADISON,"[38.4114615, -78.2846634]",320.68,10.103396699166836
30,HARRISONBURG CITY,"[38.44596465, -78.86986233403675]",17.42,2.3548082208796526
31,ROCKINGHAM,"[38.5080288, -78.8949442]",849.08,16.4401499191751
32,AUGUSTA,"[38.1793809, -79.1525761]",967.00,17.544649844964045
33,ALBEMARLE,"[37.96942765, -78.47970997052111]",720.70,15.146375835131051
