,County,Coordinates,Area (sq/mi),Radius (mi)
0,SHEBOYGAN,"[43.7128967, -87.9370433]",511.27,12.757236978931708
1,WASHINGTON,"[43.3734986, -88.2370888]",430.70,11.708975677306105
2,DODGE,"[43.413614, -88.7177834]",875.62,16.695110748451828
3,OZAUKEE,"[43.3569041, -87.9579748]",233.08,8.613585573848287
4,WAUKESHA,"[43.0622536, -88.3123889]",549.57,13.226440320044935
5,FOND DU LAC,"[43.7748763, -88.4458033]",719.55,15.134286695238561
6,CALUMET,"[44.0751086, -88.2144321]",318.24,10.064885783336495
7,MANITOWOC,"[44.0998341, -87.827992]",589.08,13.69363056550814
8,JEFFERSON,"[43.0224668, -88.7673031]",556.47,13.309212092829219
9,KENOSHA,"[42.5729233, -88.0679837]",271.99,9.304819149149356
10,RACINE,"[42.7260523, -87.7825242]",332.50,10.287913232631688
11,MILWAUKEE,"[43.0349931, -87.922497]",241.40,8.765972438903628
12,WALWORTH,"[42.6675179, -88.5413006952234]",555.13,13.293177900879856
13,ROCK,"[42.6654418, -89.081772]",718.14,15.119451167188833
14,GREEN,"[44.5126379, -88.0125794]",583.96,13.633991469138842
15,IOWA,"[42.9732457, -90.1334393]",762.58,15.580241081057775
16,LAFAYETTE,"[42.6632391, -90.1317754]",633.59,14.201546006005387
17,DANE,"[43.0709273, -89.4322174]",1197.24,19.521899699608774
18,GRANT,"[42.8855277, -90.6991696]",1146.85,19.10666008629012
19,RICHLAND,"[43.3662526, -90.4557081]",586.15,13.65953302976053
20,COLUMBIA,"[43.4641929, -89.3478429]",765.53,15.610347657975618
21,SAUK,"[43.4401728, -89.9653841]",830.90,16.26319418070799
22,CRAWFORD,"[43.2271639, -90.8938474]",570.66,13.477836511594298
23,ADAMS,"[43.9462246, -89.7836456]",645.65,14.336067780529156
24,MARQUETTE,"[43.8122244, -89.3926785]",455.60,12.042684972219615
25,GREEN LAKE,"[43.7971612, -89.0402508]",349.44,10.546728743437427
26,JUNEAU,"[43.9532381, -90.1218405]",766.92,15.624513361831381
27,POLK,"[45.4318573, -92.407472]",913.96,17.056702022288153
28,SAINT CROIX,"[45.0312388, -92.4679305]",722.33,15.163494364955596
29,PIERCE,"[44.7186568, -92.3786114]",573.75,13.514277028041175
30,OCONTO,"[44.9988053, -88.2480072]",997.99,17.82356452819829
31,MARINETTE,"[45.3834983, -88.0409574]",1399.35,21.105451343115735
32,FOREST,"[45.625108, -88.806738]",1014.07,17.966580821639372
33,OUTAGAMIE,"[44.41603, -88.4602005]",637.52,14.24552223361501
34,SHAWANO,"[44.7817214, -88.7118868]",893.06,16.860551919960354
35,BROWN,"[44.4383498, -88.0167093]",529.71,12.985257130818077
36,FLORENCE,"[45.8379973, -88.3902943]",488.19,12.465965124584088
37,MENOMINEE,"[45.0154357, -88.7089153]",357.61,10.669309052517182
38,KEWAUNEE,"[44.521282, -87.6301086]",342.52,10.441777521569945
39,DOOR,"[44.7615925, -87.5329747]",481.98,12.386424980371283
40,MARATHON,"[44.8914036, -89.7748098]",1544.98,22.176494590061793
41,WOOD,"[44.4517617, -90.0199618]",793.12,15.88915928483717
42,CLARK,"[44.7188146, -90.6214928]",1209.81,19.62411376747195
43,PORTAGE,"[44.4604931, -89.5108818]",800.68,15.964707215984939
44,LANGLADE,"[45.2728122, -89.067113]",870.64,16.64756717714021
45,TAYLOR,"[45.2057106, -90.4915874]",974.88,17.61598972704473
46,LINCOLN,"[45.3265631, -89.7326216]",878.97,16.727016843171683
47,PRICE,"[45.676627, -90.368792]",1254.37,19.982245820189043
48,ONEIDA,"[45.6879163, -89.4779558]",1112.97,18.822321924833023
49,VILAS,"[46.0382686, -89.4734462]",856.60,16.512791717549703
50,ASHLAND,"[46.2062319, -90.6802594]",1045.03,18.238782611532056
51,IRON,"[46.2254778, -90.2125304]",758.17,15.535125494971611
52,RUSK,"[45.4589749, -91.1240967]",913.58,17.053155794541976
53,LA CROSSE,"[43.8014053, -91.2395429]",451.69,11.990897922085601
54,BUFFALO,"[44.4073658, -91.7547858]",671.63,14.621654289186122
55,JACKSON,"[44.3016847, -90.8085198]",987.72,17.73161903336763
56,TREMPEALEAU,"[44.2782406, -91.3828806]",732.96,15.274661869944188
57,MONROE,"[43.9416755, -90.6397264]",900.77,16.93317609457859
58,VERNON,"[43.5811229, -90.8231247]",791.58,15.87372581017481
59,EAU CLAIRE,"[44.811349, -91.4984941]",637.98,14.250660706597651
60,PEPIN,"[44.6351571, -92.0101928]",231.98,8.593236016562797
61,CHIPPEWA,"[45.0740585, -91.2947258]",1008.37,17.916015364957047
62,DUNN,"[44.9333564, -91.8994409]",850.10,16.45002173325828
63,BARRON,"[45.423557, -91.8454099]",862.71,16.571578713952874
64,WASHBURN,"[45.8926321, -91.7971652]",797.11,15.929076454180047
65,BAYFIELD,"[46.4710241, -91.1983175]",1477.86,21.68942882181512
66,DOUGLAS,"[46.4396038, -91.9059158]",1304.14,20.374810386773955
67,SAWYER,"[45.8731634, -91.1468287]",1257.30,20.005569811728993
68,BURNETT,"[45.8652437, -92.2673161]",821.85,16.17438393038864
69,WINNEBAGO,"[44.0697014, -88.6516527]",434.49,11.760380158017234
70,WAUPACA,"[44.4927889, -88.9650419]",747.71,15.427589070754046
71,WAUSHARA,"[44.1103406, -89.2347222]",626.15,14.117918173739394
