,County,Coordinates,Area (sq/mi),Radius (mi)
0,LARAMIE,"[41.2737321, -104.7268231]",2685.91,29.239988403770237
1,ALBANY,"[41.6684047, -105.6812633]",4273.84,36.884219484542776
2,PARK,"[44.6200885, -110.56068933143061]",6942.07,47.008453325631976
3,PLATTE,"[42.0923141, -104.9870991]",2084.21,25.75741086652909
4,GOSHEN,"[42.0657096, -104.3541422]",2225.39,26.615494165678612
5,NIOBRARA,"[43.0087581, -104.4565524]",2626.03,28.912211325175438
6,CONVERSE,"[43.0202459, -105.5046207]",4254.88,36.802313969973206
7,CARBON,"[41.7423474, -106.8625645]",7897.57,50.13929347923491
8,FREMONT,"[43.0293336, -108.5772551]",9183.81,54.06832468169405
9,SWEETWATER,"[41.6239475, -108.9702314]",10426.64,57.61076702734404
10,WASHAKIE,"[43.9308684, -107.6704088]",2238.55,26.694074461051578
11,BIG HORN,"[44.4952545, -108.0024782]",3137.09,31.600572969499094
12,HOT SPRINGS,"[43.7008749, -108.409568]",2004.09,25.257483530544338
13,NATRONA,"[42.9487008, -106.8465639]",5340.35,41.23028421130703
14,JOHNSON,"[44.0155638, -106.6140815]",4154.15,36.364075858614775
15,WESTON,"[43.8397865, -104.5361902]",2398.09,27.628938965207265
16,CROOK,"[44.5746536, -104.5816096]",2854.41,30.14322012593743
17,CAMPBELL,"[44.1908398, -105.5775352]",4802.71,39.099810249501616
18,SHERIDAN,"[44.797194, -106.956179]",2523.99,28.344923089840336
19,SUBLETTE,"[42.736927, -109.9905911]",4886.53,39.439531983951866
20,UINTA,"[41.2631855, -110.5678519]",2081.26,25.739175835449867
21,TETON,"[43.9139214, -110.6380363]",3995.38,35.66239562734487
22,LINCOLN,"[42.1765551, -110.7208048]",4076.13,36.02097643423211
