submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
9/10/2021,ME,"80,503","57,747","22,756",574,190,961,897,64,2,0,9/11/2021 13:20,Agree,Agree
9/10/2021,AL,"745,812","564,150","181,662","4,494","1,490","12,673","9,969","2,704",68,21,9/11/2021 13:20,Agree,Agree
9/10/2021,IN,"899,844",,,"5,328",0,"14,783","14,330",453,24,2,9/11/2021 13:20,Not agree,Agree
9/10/2021,NE,"253,080",,,921,0,"2,356",,,2,0,9/11/2021 13:20,Not agree,Not agree
9/10/2021,ID,"232,630","185,359","47,271","1,574",387,"2,460","2,123",337,13,-1,9/11/2021 13:20,Agree,Agree
9/10/2021,WA,"597,732",,,"3,388",666,"6,918",,,68,0,9/11/2021 13:20,N/A,N/A
9/10/2021,MO,"783,886",,,"2,761",732,"10,874",,,13,0,9/11/2021 13:20,Not agree,Not agree
9/10/2021,NV,"401,901",,,"1,552",0,"6,702",,,21,0,9/11/2021 13:20,,
9/10/2021,ND,"122,351","110,121","12,230",502,110,"1,573",,,2,0,9/11/2021 13:20,Agree,Not agree
9/10/2021,GU,"12,294",,,130,29,159,,,4,0,9/11/2021 13:20,Not agree,Not agree
9/10/2021,MT,"133,715","117,466","16,249",965,278,"1,834","1,834",0,4,0,9/11/2021 13:20,Agree,Agree
9/10/2021,NC,"1,279,500","1,080,886","198,614","5,877","1,503","15,075","13,271","1,804",71,8,9/11/2021 13:20,Agree,Agree
9/10/2021,MD,"509,393",,,376,0,"10,159","9,935",224,20,0,9/11/2021 13:20,N/A,Agree
9/10/2021,IL,"1,564,386","1,564,386",0,"5,309",0,"26,845","24,261","2,584",52,6,9/11/2021 13:20,Agree,Agree
9/10/2021,AZ,"1,042,480","957,731","84,749","2,988",559,"19,147","17,060","2,087",6,5,9/11/2021 13:20,Agree,Agree
9/10/2021,VA,"805,853","608,491","197,362","4,026","1,619","12,064","10,194","1,870",28,4,9/11/2021 13:20,Agree,Agree
9/10/2021,DC,"56,966",,,107,0,"1,165",,,1,0,9/11/2021 13:20,,
9/10/2021,NJ,"1,113,165","969,062","144,103","2,664",548,"27,039","24,290","2,749",15,0,9/11/2021 13:20,Agree,Agree
9/10/2021,WY,"80,643","65,944","14,699",813,208,879,879,0,0,0,9/11/2021 13:20,Agree,Agree
9/10/2021,LA,"712,574",,,"2,173",694,"13,056","11,623","1,433",64,10,9/11/2021 13:20,Not agree,Agree
9/10/2021,RI,"165,849",,,395,0,"2,793",,,6,0,9/11/2021 13:20,Not agree,N/A
9/10/2021,OR,"296,825","296,825",0,"2,433",0,"3,414","3,414",0,20,0,9/11/2021 13:20,Agree,Agree
9/10/2021,TX,"3,787,220",,,"23,245","4,195","58,332",,,400,0,9/11/2021 13:20,Not agree,Not agree
9/10/2021,MA,"777,022","725,359","51,663","1,873",147,"18,350","17,972",378,18,0,9/11/2021 13:20,Agree,Agree
9/10/2021,NYC,"1,050,215","861,213","189,002",0,0,"33,964","28,781","5,183",0,0,9/11/2021 13:20,Agree,Agree
9/10/2021,AK,"90,946",,,675,0,444,,,2,0,9/11/2021 13:20,N/A,N/A
9/10/2021,FL,"3,418,160",,,"9,148","2,453","48,283",,,7,0,9/11/2021 13:20,Not agree,Not agree
9/10/2021,PW,5,,,1,0,0,,,0,0,9/11/2021 13:20,,
9/10/2021,AS,0,,,0,0,0,,,0,0,9/11/2021 13:20,,
9/10/2021,OH,"1,285,757","1,061,855","223,902","9,019","2,202","21,154","21,154",0,134,0,9/11/2021 13:20,Agree,Agree
9/10/2021,PA,"1,338,313","1,112,576","225,737","5,005","1,071","28,535",,,37,25,9/11/2021 13:20,Agree,Not agree
9/10/2021,NY,"1,274,025",,,"4,064",0,"20,498",,,27,0,9/11/2021 13:20,Not agree,Not agree
9/10/2021,KS,"387,152","309,795","77,357","2,151",0,"5,766",,,73,0,9/11/2021 13:20,Agree,N/A
9/10/2021,HI,"68,087",,,741,65,636,,,7,0,9/11/2021 13:20,Not agree,Not agree
9/10/2021,PR,"176,328","146,027","30,301",432,69,"2,995","2,543",452,10,2,9/11/2021 13:20,Agree,Agree
9/10/2021,UT,"479,979","479,979",0,"2,189",0,"2,724","2,639",85,21,0,9/11/2021 13:20,Agree,Agree
9/10/2021,GA,"1,484,274","1,151,432","332,842","8,278","1,730","23,741","20,581","3,160",156,28,9/11/2021 13:20,Agree,Agree
9/10/2021,AR,"472,136",,,"2,159",0,"7,199",,,30,0,9/11/2021 13:20,Not agree,Not agree
9/10/2021,OK,"580,215","447,305","132,910","2,903",795,"8,346","7,087","1,259",18,2,9/11/2021 13:20,Agree,Agree
9/10/2021,MP,250,250,0,0,0,2,2,0,0,0,9/11/2021 13:20,Agree,Agree
9/10/2021,CO,"634,888","586,809","48,079","1,592",281,"7,274","6,450",824,20,5,9/11/2021 13:20,Agree,Agree
9/10/2021,WV,"205,783","158,317","47,466","2,379",546,"3,207",,,18,5,9/11/2021 13:20,Agree,Not agree
9/10/2021,TN,"1,124,713","894,650","230,063","5,168","2,379","13,890","11,186","2,704",11,0,9/11/2021 13:20,Agree,Agree
9/10/2021,RMI,4,4,0,0,0,0,0,0,0,0,9/11/2021 13:20,Agree,Agree
9/10/2021,NM,"239,886",,,880,0,"4,605",,,20,0,9/11/2021 13:20,N/A,Not agree
9/10/2021,SD,"136,772",,,615,165,"2,084","1,706",378,5,0,9/11/2021 13:20,N/A,Agree
9/10/2021,IA,"421,168",,,"2,008",699,"6,337",,,0,0,9/11/2021 13:20,Not agree,Not agree
9/10/2021,DE,"123,958","114,204","9,754",650,107,"1,900","1,740",160,0,0,9/11/2021 13:20,Agree,Agree
9/10/2021,CA,"4,525,175",,,"9,244",0,"66,422",,,165,0,9/11/2021 13:20,Not agree,Not agree
9/10/2021,MS,"460,312","267,713","192,599",0,0,"8,905","6,028","2,877",0,0,9/11/2021 13:20,Agree,Agree
9/10/2021,VI,"6,182",,,0,0,63,,,0,0,9/11/2021 13:20,,
9/10/2021,NH,"111,111",,,332,0,"1,441",,,5,0,9/11/2021 13:20,Not agree,Not agree
9/10/2021,CT,"378,933","344,162","34,771",625,71,"8,424","6,933","1,491",8,3,9/11/2021 13:20,Agree,Agree
9/10/2021,WI,"753,972","678,240","75,732","2,777",445,"8,613","7,740",873,24,1,9/11/2021 13:20,Agree,Agree
9/10/2021,VT,"27,540",,,0,0,272,,,0,0,9/11/2021 13:20,Not agree,Not agree
